sample,subject,region,T_cells,CD8_T_cells,CD4_T_cells,Tregs,Th1_cells,Th2_cells,Th17_cells,B_cells,Plasma_cells,NK_cells,Monocytes,Macrophages_M1,Macrophages_M2,Dendritic_cells,Plasmacytoid_DC,Neutrophils,Mast_cells,Eosinophils
GSM1138143,38,Inflam,-0.0938543597735115,-0.0127601618777484,0.0460659022086715,-0.150269101860077,0.0387593149195054,-0.285087816435958,0.0145350450114997,0.00480558095688459,-0.0603213852631579,-0.132029102120377,0.0955599981139825,0.106369454006918,0.226369384423129,-0.0717974601718497,-0.0935053272531299,0.204446785652437,0.343196604344209,-0.298888654518072
GSM1138144,39,Inflam,-0.146055187227235,-0.281994228670153,-0.0551003078094833,-0.17579962686085,0.0295477673449878,-0.30823483506657,-0.0114264555873175,-0.158029412053045,-0.045200171565059,-0.264982800240187,0.0007975567913934,-0.116118311960599,0.0890573629363362,-0.195187447357519,-0.0469795955329989,0.0434630719605174,0.0834746882473134,-0.344997101792647
GSM1138145,42,Inflam,-0.227878289544303,-0.299328215312186,-0.039919216177641,-0.181541582196534,0.0778690140129183,-0.332179523311765,-0.0454014293834783,-0.166126918585339,-0.104427855329941,-0.17011254795373,0.0495130023746815,0.111310846298957,0.154771928756156,-0.0409409501997023,-0.0604059396133313,0.0851764585612162,0.348423668313947,-0.356865634745089
GSM1138146,43,Inflam,-0.226980782247542,-0.318939906114497,-0.0679378478445698,-0.165062521068573,0.0265590481538198,-0.341550584636284,-0.0378033194927266,-0.165239213658333,-0.0671815175553818,-0.186967549240603,0.0409215346370969,-0.0388142123905746,0.112163706269362,-0.0416664343047302,-0.0238847094473383,0.10124951556095,0.307886744357817,-0.300967075682998
GSM1138147,46,Inflam,-0.171341160684448,-0.169267034021388,-0.0204041548169374,-0.189282606729763,0.105301624615312,-0.320514537420447,-0.0416445515050705,0.00170993735858071,0.0033760977394161,-0.256963135408802,0.00742260636012192,-0.0467536935133611,0.0718767528614747,-0.102944202451753,-0.0491860653825019,0.0115395343675429,0.344463208495983,-0.321113166303105
GSM1138148,47,Inflam,-0.206876631566052,-0.345538449140511,-0.000469091726355257,-0.164102501042581,0.0449435882225832,-0.374505007393487,0.00221101674296534,-0.155316796236621,-0.0152560874749906,-0.29011506383926,-0.0356569998621832,-0.122271508014147,0.0232560953200163,-0.228568192362643,-0.100004226684323,-0.0448889932373096,0.305195838998482,-0.332905811131296
GSM1138149,49,Inflam,-0.246060198111576,-0.320061006921439,-0.0373537025460068,-0.195474616622327,0.03639787609799,-0.347990188872627,-0.0155123939239295,-0.181560481404482,-0.0456988163903614,-0.268368275992824,-0.0125560413607948,0.0206041230445014,0.193348141082169,-0.178301630518872,-0.0855362180980618,0.0916812418353492,0.0466435171896561,-0.299746107359852
GSM1138150,52,Inflam,-0.254906093820343,-0.226243291840391,-0.0014323975593965,-0.182851154459509,0.0589514812878839,-0.407223567481316,-0.0355457744643921,-0.0942819042927658,-0.0508797195298397,-0.247362988687186,0.0674295134051767,-0.0616417608127675,0.0957499605915139,-0.0206706974633343,-0.0851141649182961,0.0673373559351269,0.34883586823502,-0.333925107514018
GSM1138151,53,Inflam,-0.163778003028537,-0.363460374235929,0.022650625097914,-0.164598466642299,0.0669196415352487,-0.281676950426238,0.0015648011391288,-0.124189009429572,-0.0807285227906512,-0.286087012039571,0.0555520148221161,0.0940616340655546,0.243946549386854,-0.117576591366168,-0.0753245511096223,0.165090497882287,0.203948698180932,-0.35144526171808
GSM1138152,54,Inflam,-0.261427863149269,-0.372713804171785,0.0848856974832673,-0.125693337366275,0.0502054116406366,-0.372253875679494,-0.0176631227652349,-0.150053259013595,-0.0441581055124254,-0.257209991630214,0.164813099281703,0.0726368886272413,0.179411477302703,-0.0443668391176293,-0.0709745123962376,0.156447598220149,0.1365482338535,-0.368278027328997
GSM1138153,57,Inflam,-0.196935506183526,-0.283628814138005,0.000830256705803617,-0.134551281750054,0.0660758933287233,-0.336740178921702,0.0105022593445754,-0.170841244666,-0.029382585634415,-0.268744498970358,0.0260483443276059,0.00962273628118679,0.161883358092965,-0.0631887451546363,-0.0896999118047764,0.0782783662623988,0.336778387663112,-0.301804895867217
