comparison,pathway,NES,size,pval,padj,leadingEdge
R1_GSE51588_Medial_vs_Lateral,HALLMARK_HYPOXIA,1.2786852483775,191,0.0466715875439414,0.097232474049878,S100A4;TPBG;ADORA2B;TGFB3;P4HA2;CA12;KDELR3;GAPDH;EDN2;TMEM45A;LOX;SRPX;GCK;P4HA1;TGFBI;MIF;SDC2;PDK3;DCN;TES;PAM;PLAUR;SULT2B1;GPC1;TPI1;BGN;PGK1;ENO1;LXN;LDHA;PPFIA4;PFKP;SERPINE1;ERRFI1;NDST2;IGFBP1;HMOX1;HDLBP;SLC6A6
R1_GSE51588_Medial_vs_Lateral,HALLMARK_ALLOGRAFT_REJECTION,-1.27411768695298,195,0.0527383367139959,0.103749814732474,INHBB;CRTAM;TLR1;IRF4;CCL2;TNF;STAB1;ITGAL;GZMB;CD247;CD74;PRKCB;PTPN6;HCLS1;NLRP3;CCL4;IKBKB;CFP;ZAP70;GZMA;NCF4;IRF8;IL15;TLR2;CD96;CCR2;HLA-E;LCK;PRF1;CCL5;KLRD1;IL1B;IL2RG;FASLG;LCP2;PF4;IL13;APBB1;MAP4K1;CD2;HLA-G;FGR;HLA-DMA;ACVR2A;CD28;CD40LG;LYN;CCND3;CD3G;IFNG;LY75;GPR65;CD8A;TAP2;STAT4;LTB;CD40;TRAT1;IFNGR1;IL2RB;HLA-DRA;CXCL9;GCNT1;TAPBP;CCND2;HLA-DOB;MTIF2;JAK2;CXCR3;GBP2;EIF3A;HLA-DMB
R1_GSE51588_Medial_vs_Lateral,HALLMARK_ANDROGEN_RESPONSE,1.32906300695447,97,0.0539499036608863,0.103749814732474,HOMER2;FADS1;ABCC4;PGM3;SEC24D;CENPN;SPCS3;KRT19;ANKH;ITGAV;HPGD;B4GALT1;SORD;HMGCR;SLC26A2;VAPA;CDC14B;LMAN1;LIFR;TMPRSS2;AKT1;IDI1;ALDH1A3;CDK6;ELL2;RPS6KA3;GSR;XRCC5;DNAJB9;RAB4A;NCOA4
R1_GSE51588_Medial_vs_Lateral,HALLMARK_MITOTIC_SPINDLE,1.25107622046218,196,0.064453125,0.117162249515191,BIRC5;NDC80;BUB1;KIF4A;CCNB2;ANLN;KIF2C;PALLD;CDK1;TPX2;TTK;NUSAP1;KIF23;DLGAP5;CENPF;SHROOM2;TIAM1;ARFIP2;KIF11;SAC3D1;KIF15;RACGAP1;PRC1;EZR;ESPL1;LMNB1;PIF1;SMC4;CENPE;MYO1E;TOP2A;RASAL2;PLK1;KPTN;AURKA;UXT;ECT2;KIFAP3
R1_GSE51588_Medial_vs_Lateral,HALLMARK_NOTCH_SIGNALING,-1.42712274295045,32,0.0656108597285068,0.117162249515191,NOTCH1;HES1;DTX1;ARRB1;NOTCH3;DTX2;FZD5;MAML2;DLL1;KAT2A;DTX4
R1_GSE51588_Medial_vs_Lateral,HALLMARK_PANCREAS_BETA_CELLS,1.39516608340377,40,0.0705009276437848,0.120400467598777,SYT13;SRPRB;GCK;PCSK1;ELP4;SEC11A;SRP9;DPP4;PAX4;NKX2-2;IAPP;VDR;NEUROG3;NKX6-1;SRP14
R1_GSE51588_Medial_vs_Lateral,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,-1.388746726354,46,0.0722402805592663,0.120400467598777,CAT;MGST1;NQO1;GPX3;GCLC;GPX4;MBP;EGLN2;JUNB;MSRA;G6PD;SCAF4;PDLIM1;HHEX
R1_GSE51588_Medial_vs_Lateral,HALLMARK_PEROXISOME,-1.32681314672479,102,0.0885310335314001,0.140692640692641,CAT;DHRS3;ACSL1;PEX14;ACOX1;IDH1;ECH1;PEX11A;ABCD2;ACSL5;CLN8;ALDH9A1;EPHX2;EHHADH;LONP2;RETSAT;ISOC1;ITGB1BP1;CNBP;RXRG
R1_GSE51588_Medial_vs_Lateral,HALLMARK_UV_RESPONSE_UP,-1.21043113238248,150,0.0905349794238683,0.140692640692641,MAOA;CDKN1C;DGAT1;GRINA;BTG2;GPX3;EPHX1;PRKCD;TYRO3;EIF5;CYB5B;RHOB;FOS;TST;SQSTM1;PRPF3;FOSB;CEBPG;JUNB;HLA-F;IRF1;CXCL2;GLS;ARRB2;CHKA;DNAJB1;CNP;TGFBRAP1;PRKACA;ATF3;TUBA4A;NXF1;NR4A1;OLFM1;ALAS1;RXRB;ACAA1;LYN;CCND3
R1_GSE51588_Medial_vs_Lateral,HALLMARK_ESTROGEN_RESPONSE_LATE,-1.20232871197302,192,0.0967741935483871,0.140692640692641,MAPT;NPY1R;SLC24A3;WFS1;PRKAR2B;BCL2;IMPA2;MEST;ALDH3A2;PDCD4;FLNB;RAPGEFL1;ACOX2;ABCA3;ASS1;SLC22A5;TFF3;PTPN6;NRIP1;FOXC1;FOS;TST;SCARB1;FDFT1;CACNA2D2;PTGER3;SCNN1A;PGR;ZFP36;IGSF1;CAV1;ITPK1;DCXR;TOB1;NCOR2;ST6GALNAC2;HSPB8;KLF4;OLFM1;CDH1;ADD3;CHPT1;CELSR2;TFPI2;FABP5;DHCR7;TPD52L1;PERP;ISG20;LTF
