tf,n_target,n_overlap,enrich_p,enrich_FDR,rho,FDR,max_abs_rho,validated_in_bulk
TEAD1,126,7,0.000126952599632668,0.00220435877543996,0.17501048854677,1.91056045653789e-10,0.270737772514627,FALSE
MEF2D,1048,22,0.000145726168220514,0.00248515161876055,0.242686837819457,1.00749717287012e-18,0.320392256746426,FALSE
ZFHX3,440,13,0.000148710307163601,0.00249154988317964,0.188310065360907,7.90499371599958e-12,0.265374780327223,FALSE
ARID5B,699,17,0.000157414964171737,0.00259191880662085,0.189491628673813,6.08874153484914e-12,0.256007634968576,FALSE
HIVEP1,223,9,0.000165096394403784,0.00267232299416295,0.194279709615049,1.67592796532874e-12,0.255533253371839,FALSE
EBF4,571,15,0.000169329488008151,0.00269516101746307,0.154013538471508,2.32704599863091e-08,0.279434543193441,FALSE
NKX2-8,775,18,0.000177977760780758,0.00278637314009219,0.105272178307741,0.000161956939422233,0.267359835068016,FALSE
PRDM4,708,17,0.00018302982185856,0.00281924967540202,0.141926624780872,2.64382931341604e-07,0.237996291429973,FALSE
PRDM8,336,11,0.000200853004073015,0.00304467649031316,0.196790603865094,8.51543825081473e-13,0.324357101902677,FALSE
ZBTB43,343,11,0.000239763839225942,0.00354803063344981,0.190556686398555,4.69814299605013e-12,0.285579118150264,FALSE
MLXIP,725,17,0.000241488995993966,0.00354803063344981,0.188950456358993,6.89343514119348e-12,0.237668616489115,FALSE
HOXB2,658,16,0.000246468586825328,0.00356632576391194,0.170750411959838,5.079491322416e-10,0.301207789524387,FALSE
FOXS1,410,12,0.000290672478250774,0.00414316741387297,-0.105454883759907,0.000157874145971581,0.280896430510922,FALSE
ESRRA,67,5,0.000308497387028911,0.00433257359724426,0.187894661313208,8.51828143125287e-12,0.320774599932344,FALSE
MECOM,887,19,0.000326392513186564,0.00440552749578291,0.174663144020959,2.05965500149663e-10,0.236452586016429,FALSE
GFI1,1035,21,0.000326760578579819,0.00440552749578291,-0.0432754734904778,0.132684220338846,0.238129449650999,FALSE
FOXO6,816,18,0.00033163948907113,0.00440552749578291,0.150534727902562,4.70567422508111e-08,0.33442208393074,FALSE
NFATC3,1346,25,0.000334971487544786,0.00440552749578291,0.168643178215781,8.23160918426526e-10,0.248615593942702,FALSE
TCF21,543,14,0.000336757599154087,0.00440552749578291,0.0831637898487294,0.00314564068761058,0.195828720109653,FALSE
UBP1,819,18,0.000346439993659069,0.00447094856681636,0.158694898790433,8.091250224876e-09,0.254090263147321,FALSE
MSX1,681,16,0.000360144762390779,0.00458584330777592,-0.165820652784764,1.60625919698515e-09,0.243023051957254,FALSE
PRDM5,483,13,0.000365628092589507,0.00459440563714446,-0.0784780138315062,0.00533493426974359,0.17973822298701,FALSE
TFAP4,39,4,0.000373004133351139,0.00462622009545893,0.0885220695946734,0.00160818736894906,0.229432925678705,FALSE
CSRNP1,153,7,0.000417573581151926,0.00511259961538576,0.116259159753204,2.91465548996353e-05,0.205189852050212,FALSE
