tf,rho,p,fdr
ZNF471,-0.110372648353688,2.31173885096096e-05,0.000174234852929807
CLOCK,0.11036441170448,2.315008535431e-05,0.000174234852929807
ZSCAN30,-0.11031698604619,2.33392069210884e-05,0.000174510148481864
ZNF780B,-0.109934112454131,2.49207145947787e-05,0.000185125308418356
ZNF606,-0.109779367581593,2.5588371849514e-05,0.000188858692876413
NR2F1,0.109588343838645,2.64360092320243e-05,0.000192647972783031
TCF7,0.109587774126496,2.64385766843846e-05,0.000192647972783031
ZNF135,-0.109399513896633,2.73000834622242e-05,0.000197666427093573
ZNF624,-0.109192509487501,2.82781255528128e-05,0.000203460224103257
ZNF532,0.108549756587728,3.1531442463034e-05,0.000225449813610693
NFE2L1,0.107824293498084,3.56295409702757e-05,0.000253168912235996
ZNF644,0.107778599631694,3.59038950643832e-05,0.000253543555269472
ZNF544,-0.107029549415629,4.0697177980691e-05,0.000285629273680433
ZNF547,0.10685892105142,4.18708789760063e-05,0.00029207491188141
ZBTB21,0.10616860062301,4.69549588787064e-05,0.000325408892203965
NPAS4,0.106134788735845,4.72184231694565e-05,0.000325408892203965
FEV,-0.106078591098623,4.76594187790696e-05,0.000326481287923686
ZNF527,-0.10557729884961,5.17695132480729e-05,0.00035252573307021
KLF9,0.105435683907163,5.29900608209675e-05,0.000357168188362923
PURB,0.105425864717044,5.30756923266582e-05,0.000357168188362923
USF2,0.105161307915133,5.5432767864113e-05,0.000370848458693247
HOXD11,0.104994367700423,5.69707403681721e-05,0.000378921668495284
ZNF781,-0.104837833177336,5.84494540628852e-05,0.000386509684670177
SOX7,0.10469862029601,5.97949759536542e-05,0.000393134784430922
THAP8,-0.104574484149401,6.10194414839845e-05,0.000398892806043876
HOXC12,0.104470976438795,6.20585243457592e-05,0.00040147059225661
ELK3,0.104465334299351,6.21156423334091e-05,0.00040147059225661
ZIK1,-0.104171203346815,6.5163082930886e-05,0.000418800937488391
GSC,0.103963510180734,6.73995256631045e-05,0.000430754510383193
ZNF211,-0.10387841659712,6.83366057062837e-05,0.000434317094044381
CBX2,0.103798357212647,6.92294797189355e-05,0.000437560910488742
BARX2,0.103540226500831,7.2183998913207e-05,0.000453565795914184
GLI1,0.103508549499853,7.25546684023564e-05,0.000453565795914184
SOX3,0.10341680871205,7.3638349464947e-05,0.000457838433629888
THAP7,-0.10329396327219,7.51134165625001e-05,0.000464485127283784
ZNF600,-0.10299126582903,7.88680805676882e-05,0.000485081097685136
ZNF546,-0.102890149189752,8.01613419868238e-05,0.000490398798037039
TEF,0.102504950357232,8.52737346945365e-05,0.000518899747290158
ZNF770,0.102225128545606,8.91789071832259e-05,0.000539791903796881
TCF7L1,0.102140734782557,9.03894380652849e-05,0.000544239563929926
ZNF511,-0.101983423645619,9.26873836657576e-05,0.000555153753474485
NR1D1,0.101683071438431,9.7228718114159e-05,0.000579321112096864
LBX1,0.101612688312127,9.83228557817902e-05,0.000582804906810197
ZNF75A,-0.101517719841404,9.98175983528869e-05,0.000588615116060323
ZNF549,0.10127752727828,0.000103694281244006,0.000605377082982807
ZNF404,-0.101276056477733,0.000103718451280271,0.000605377082982807
ZNF853,0.10113495534424,0.000106062059579384,0.000615913686085356
TRPS1,0.100824732692602,0.000111391367319529,0.000643594566735055
ZNF674,-0.100741573298038,0.00011286227717754,0.000648816306990478
VEZF1,0.10053267187403,0.000116638437513069,0.000667171862574756
ZNF607,-0.100381544332928,0.00011944412127828,0.000679821267374885
ZNF616,-0.100134739318646,0.000124163152565649,0.000703181418490605
HOMEZ,-0.100063970684247,0.000125548336776755,0.000707523631884767
ZBTB38,0.0997897512641288,0.00013105438324727,0.000734932423700375
ZHX2,0.0996429547469128,0.000134094538242223,0.000748312935361479
ZNF331,0.0995008431509728,0.000137100803544545,0.000758319647783108
ARNT,0.0994955761498953,0.000137213432771943,0.000758319647783108
