tf,EC,FC,HomC,HTC,preHTC,ProC,RegC
KDM2A,0.213336210463729,-0.0702421549339287,0.205727683945458,0.0979090050813235,0.0353378832214398,0.195299245980309,0.144234720978963
KDM5B,0.102503717963985,-0.165570793772832,0.0517848262043174,0.00112296850943494,0.0654401813435475,0.144715986367435,0.0263754351108989
KLF1,0.0855985667997099,0.158096045507268,-0.0991854119231682,0.226890819776261,0.210604421679402,0.10387989080272,0.0205586398093113
KLF10,-0.135147569987722,-0.0954310326507602,-0.154443273605751,-0.0248769136553912,-0.0554161594671416,-0.150527881616579,-0.108651922233547
KLF11,0.201482457408386,-0.0780240846350636,0.264430199311001,0.154876324479522,0.138900262857414,0.234662934125498,0.0699552791988625
KLF12,-0.20607157294764,0.0966597583930447,-0.199232734156426,-0.161331135429196,-0.160834424069872,-0.243154320474086,-0.0952517700587221
KLF13,-0.0787835951861525,-0.184923224213812,-0.113370334461496,0.0279477658795832,-0.186345284239543,-0.156708208725254,0.0541736231331424
KLF14,0.0666579923808792,0.279330318746002,0.0571474917384998,0.247838848968348,0.230150703574413,0.0836437122503864,0.118946615696184
KLF15,0.162985851776466,0.107923077697319,0.143003916318629,0.211825580041107,0.201936473395363,0.182129420358083,0.0451535373867593
KLF16,0.110680895358557,0.123998906158874,0.0306179820206506,0.151913855275007,0.244468714682887,0.07037620525139,0.182199023615274
KLF2,0.0594302191891098,-0.124101299970731,0.0455348561221394,-0.0595835650676324,0.0638485868791515,0.0347302761728559,0.180261955309651
KLF3,0.105334976925915,-0.0260080282116879,0.0806087800058725,0.0746548260816573,0.0565318359789486,0.0716731968651832,0.022554407154498
KLF4,0.111804370140902,0.150928478677275,0.0670870952104912,0.0950368550598732,0.0680738215709381,0.00445051606117191,0.0899409045743317
KLF5,0.134842207215683,0.114783463091741,-0.0620112351867721,0.177624716054027,0.197466940656192,0.0821186507553935,-0.0877802208798929
KLF6,0.153815308979501,-0.0594908046889396,0.149794634290326,0.136884743213079,0.118445543313148,0.23989006113262,0.0909863065170485
KLF7,0.246919018512788,-0.136695738829147,0.213032261790069,0.178172652431285,0.137805066421436,0.252964112071615,0.110756702080782
KLF8,0.187170031342795,-0.319263905370247,0.110702445702707,0.17171784148161,0.181800170268147,0.164299342385223,-0.000567424049121712
KLF9,0.214593934469934,0.0318444754875391,0.0932939487290692,0.173548310258384,0.297515524424998,0.224776581448878,0.0842443025442329
KMT2A,0.0882177080452327,-0.140484309867857,0.0361150876378626,0.055025456962312,-0.144407452771902,-0.000638889004826813,0.0389565959241837
KMT2B,0.114296161902411,0.111506861112315,0.207200549743983,0.0623051831173085,0.131047616639695,-0.0252491692079754,0.0376009276294841
L3MBTL1,0.0227472594595537,-0.0582620789466551,0.0847734350223907,0.0584274795244072,-0.053383268130724,-0.0684786051723153,0.0518508182818116
LBX1,0.211182505954672,0.0444389143459549,0.137709964604662,0.0971924728956787,0.0920423369823725,0.126068230203136,0.0132352358255729
LBX2,0.122177439025304,0.0746450888437813,-0.0055434127569222,0.135782849179692,0.096781524053287,0.0718269056983004,0.0575138780035879
LEF1,-0.0193961543840876,0.244618816526466,0.00331170737863016,0.0554589890410215,-0.00449147567755874,0.0907499590761128,0.0811807717174477
LHX1,-0.220059908375896,-0.106694351955034,-0.200693649725348,-0.264120387035436,-0.322038952367218,-0.214896535527816,-0.167099394485444
LHX2,0.124151356027519,-0.0371689537041051,0.0846091193653544,0.058102330465375,0.0942688137974559,0.0632123176132447,0.032267700606212
LHX3,-0.0263337442314787,-0.230078895242766,0.104117869191656,0.0207463163499093,-0.122133907445713,-0.0589807779717712,-0.121224697469751
LHX4,-0.00915989748405967,0.0326636259823954,-0.0270030375658536,0.0954523233019698,0.086257690802492,0.0503966969833647,-0.0294501467071249
LHX6,0.17800895104619,-0.103417749975609,0.131152276110216,0.0234799769573273,0.0270941650795651,0.202856352494014,0.0228255408134379
LHX8,0.106742326719065,0.0265199972709731,0.0935628288951285,0.0440366230228012,0.179782882799028,0.0949185778307472,-0.014814519509089
LHX9,0.119841187113465,0.147754270509707,0.115945608940863,0.01138924898443,-0.00279260462548897,0.0567151860393654,0.00481332124427383
LIN54,0.21105101662675,-0.0371689537041051,0.15489140721585,0.266444600679629,-0.0288656916387412,0.115274584738669,-0.0859773218075603
LMX1A,0.0833656138501361,0.0285678735081138,-0.0579840078106842,0.0704941223818206,0.103653077114644,0.0632923987419489,-0.0403430113348457
LMX1B,0.125003375330781,-0.120824697991306,-0.0722316690544255,0.0573617131642464,0.164021513965488,0.122105681019617,-0.0978680701078744
LYL1,0.0940611962884802,0.153488323973701,-0.120250679155213,0.0562718616886017,0.104000263162024,0.0472921598931055,-0.0399628651738577
MAF,0.0338978304568821,-0.204173260842936,-0.00628432699228556,0.143351596720495,-0.0209096698001733,0.086674181630031,-0.132601130375788
MAFA,0.0544255421757057,0.151850022983989,-0.0856487893407837,-0.0676279936392414,0.0739569671631372,0.0971615827781339,-0.0414974257796105
MAFB,0.207143003978004,0.0648152829055056,0.128836919124706,0.190763146550472,0.120857803673248,0.198830149079988,0.0904300632373676
MAFF,0.185892396658749,-0.0100345935619898,0.174591360715794,0.131598060364372,0.075858688490081,0.173323282906567,0.158677479904145
MAFG,0.13444734496107,-0.0259056343998308,0.0830944277632205,0.117953842442765,0.108353254517313,0.0919178822040825,0.0508417538397774
MAFK,0.206112379980443,-0.101369873738468,0.13094314709217,0.156068537695973,0.0767256783668261,0.190208667564439,0.119309990703011
MAX,0.262223035761954,-0.140996278927143,0.049687560909055,0.163047199907421,0.305016108386806,0.172375216210699,-0.0118879531079539
MAZ,0.121049232992779,0.138026858383288,0.0956391812885863,0.156947644411134,0.0105306599427379,0.125982282325076,0.0674256301128765
MBD1,-0.0590939061554757,-0.0194548242528374,-0.0718731621663464,-0.126738888315503,-0.0958155471433702,0.0102575712420966,-0.128673885109699
MBD2,-0.0186620220644785,0.0491490296913787,0.0220944807565713,0.00889041825297956,0.071669537741421,0.0538878528561591,-0.0559401847047922
MBD3,0.197541917414652,-0.015871040837841,0.0723481837930512,0.14631406592501,0.334426960139271,0.331455645037897,0.0484714307183232
MBD4,0.0714393149586987,0.200999052675367,0.100078691585965,0.128659676275341,0.132035536488,0.0660390641215154,0.12393044367443
MECOM,0.215594002476748,-0.142532186104998,0.138474779299231,0.203142895909176,0.109992635825309,0.236452586016429,0.120240789758959
MECP2,-0.0957437471337713,-0.00696277920627864,-0.0989792704625227,0.00677694936927091,0.0241460094019492,0.0516326744038595,0.0849710525578863
MEF2A,0.193438543560553,-0.0883658596326245,0.123608693673553,0.208881174673205,0.127684983236976,0.246877212946427,0.0709783196026977
MEF2B,0.193263684439314,0.0292846301911131,0.0501655700931604,0.241661016846738,0.128626091483387,0.149790284553844,-0.0390628132338716
MEF2C,0.165142907587734,-0.219737120245205,0.15734120428439,0.116496692955992,0.103717443067248,0.16410808635623,0.00800263572726828
MEF2D,0.253393734384228,0.113247555913885,0.22941005146048,0.284074905213814,0.320392256746426,0.271828791293339,0.170833771478678
MEIS1,0.144642400557446,-0.0709589116169279,0.107329493397364,0.0143216117945898,0.0451488147850574,0.156362950525676,0.0530220038807377
MEIS2,0.122179410379546,-0.227928625193769,0.185654285770433,0.0887024696876183,0.178039150628476,0.165514492845505,0.0919031296111959
MEIS3,0.163236213765162,0.0408551309309585,0.00747337483774771,0.160470092550648,0.32322387104016,0.342265424063092,0.1101864828393
MEOX1,0.164714138040165,0.0540639326605165,0.0275318352257702,0.0751606135068184,0.105822014669066,0.160918188062846,0.0446504027619223
MEOX2,0.198446374740744,-0.180417896492102,0.0583723902727698,0.164576604740646,0.171551355178479,0.268542971647991,0.00760851360447931
MESP1,-0.0839459805388927,0.123486937099589,-0.0959976881766654,0.0393641106189325,0.136220298648982,-0.200222035364608,-0.0739831513899186
MGA,0.189361191582445,-0.0400359804361022,0.205972663652312,0.12228916322986,0.0507964395052274,0.112752029184487,0.139376676656926
MITF,0.0441415785030286,0.0991172098776136,0.191578612095939,0.0298866176760339,-0.0809986999022129,0.0868070635029357,0.139105542997986
MIXL1,0.166659076135026,0.216767699701351,0.138187973788767,0.0315484906444202,0.0559930149363145,-0.00694828459932632,0.0724430003994454
MKX,0.20543620547554,-0.0036861772268534,0.131663148425729,0.14943910965904,0.155227759501359,0.25891519594922,0.121216311892671
MLX,-0.038042997020905,0.0673751282019316,-0.0146913135177391,0.130706911091469,0.0675783987842266,-0.166253556595579,0.0906536786261841
MLXIP,0.150341388534777,-0.0312301126163969,0.121911761069979,0.156471963380327,0.21183322622912,0.237668616489115,0.173670891724287
MLXIPL,0.0357260643806349,-0.202842141288794,0.161595486022928,-0.130014464021308,-0.157462525870944,0.0161026136250989,0.00436329527428075
MNT,-0.252937760148122,0.0755666331504947,-0.143580514896956,-0.1327119969555,-0.245544406284743,-0.202332745114026,-0.0657009964266298
MNX1,0.0713391701632203,-0.190657277677806,0.0493589295949825,-0.0295614686170018,-0.0362950829560015,0.233508944527248,0.081021445752916
MSC,-0.0352553049877169,0.0155638594022699,0.0330319284003828,-0.0863842773222968,-0.0594146504622541,-0.072656170719717,-0.0686778762902486
MSX1,-0.241889502435938,-0.0808911113670607,-0.0537386887443482,-0.0621486298666634,-0.126523957985835,-0.243023051957254,-0.0436916517823718
MSX2,0.148302811113435,0.0491490296913787,0.167418235396812,0.125962143341149,0.0872046504991394,0.110214220081981,-0.038171146870966
MTF1,0.175086615518294,0.0123896512347017,0.271444984087748,0.205280449908368,0.160078124126772,0.102559725528972,0.177176062943984
MXD1,-0.128685076512581,-0.212057584355928,-0.138967726270339,0.0217759550368443,0.0121646774213503,-0.178051149543525,-0.111011064585561
MXD3,0.0451410551035705,-0.0334827764772517,0.183117849537273,-0.0984810265740651,-0.0615738355996149,0.0957014955322545,-0.0276360668653516
MXD4,0.179878386273595,0.197722450695942,0.0594508984944076,0.312067830684929,0.198373427822036,0.0678997036796497,0.13032025340986
MXI1,-0.214922164951177,0.0864203772073408,-0.128708454156477,-0.1918770831416,-0.203806499366858,-0.240730472977812,0.000553448087320685
MYB,0.0865661074615363,-0.000819150494856311,0.217334344447017,-0.0552301804439248,-0.0121090886441012,0.0595064387140346,-0.0261015062595988
MYBL1,0.174999875931659,0.250045688554889,0.257149521925596,0.182453781708541,0.0122446472412526,0.180291367784968,-0.0828103688634475
MYBL2,0.0958521716170648,-0.0779216908232066,0.159991167698774,0.0786108062998812,0.029901885951499,0.0633695464959752,0.128534125491689
MYC,-0.0211942265879423,-0.00255984529642597,0.0142790305964482,0.0364979818763533,-0.0591781543485188,-0.054128976254675,0.0238933042950364
MYCL,-0.0532080337960316,-0.255062985335884,-0.0443099575878694,0.0499194124797339,0.146630028620161,-0.0564552890429115,-0.0935718594502386
MYCN,0.0299566990568752,0.0386024670701037,0.0267431200719963,0.0885278526003603,0.0874640647929686,0.233902310071542,-0.0733262811852703
MYF6,0.073972110888435,0.214924611087925,-0.086652608627405,0.014466122487493,0.0732328501963394,0.109581784501445,-0.0152170272089586
MYNN,0.200757393318289,0.0224242447966915,0.144019685834853,0.184832186862572,0.351125536252396,0.267965976848866,0.104643616389013
MYOD1,0.118576760502839,-0.156355350705698,0.103221601971458,0.0252743180608748,0.149448477150862,0.0815632162601504,0.0932000988663312
MYOG,0.0718732100272969,0.261309007859163,0.0957108826662021,-0.147891640989202,0.137600753284002,0.247763825442795,0.156863400062371
MYRF,0.0858660795703086,-0.173045542038396,-0.251586690045569,0.0298083410507113,0.0748956373052826,0.0262086760650867,-0.0746120696709648
MYT1,-0.130266299749848,-0.0657368272122189,-0.174863228439253,-0.14731359821759,-0.178293688713775,-0.187961995898705,-0.12854810145349
MYT1L,0.183070403061755,0.103110568540038,0.0571056659348905,0.200035916011758,0.157721452543921,0.017097320978344,0.0720628542384574
MZF1,0.0292907755940289,0.19987272074494,0.05406433250102,0.0754375923348828,0.0500669587090459,0.166840231531141,-0.0236668937138598
NANOG,0.152012308390042,-0.20089665886351,0.0859893708844587,0.195875212311921,0.0330714214964053,0.169131490491978,0.0228339263905186
NCOA1,0.150119019776314,0.013208801729558,0.17258073458515,0.152919408846458,0.0654601737985231,0.173838676837458,0.0834979861840581
NCOA2,0.0842663256031689,0.181339440798816,0.152611900919148,0.0794658278995582,0.05219005990328,0.112500492305865,0.0640825800500708
NCOA3,0.153613442305151,-0.134750256403863,0.211490682171329,0.102948815496321,0.0202343149186818,0.130541626586794,0.0611643992260163
NEUROD1,0.10523167796365,0.214310248216782,0.0507302184418849,0.219888072449329,0.0702690906514255,0.0629742742581405,0.0652984887267602
NEUROD2,0.0740584562042214,-0.102291418045182,0.123761059100987,0.0933508969760031,0.106051684090858,0.165283489589628,-0.121124070544784
NEUROD6,-0.223571481686636,-0.0957382140863313,-0.178962157192957,-0.252734148690442,-0.321632276575764,-0.190640313648279,-0.180552655315113
NEUROG1,0.137764542743579,-0.0301037806859694,0.108001693812512,0.0478601351058639,0.0550065579505691,0.132797685051497,0.00439683758260322
NEUROG2,0.142833091634414,0.0167925851445544,0.19371770319481,0.032439639917323,0.154123298269172,0.0616529356345214,-0.0924705536603176
NFAT5,0.179457305007567,-0.151645235360275,0.225364898739988,0.113835287695025,0.0606356530783226,0.149666056136238,0.180999886092746
NFATC1,0.225935923964132,-0.235096192023761,0.0917882197991373,0.223795882436585,-0.00154478286250202,0.118105584640223,0.0305654284588469
