tf,n_target,n_overlap,enrich_p,enrich_FDR
IKZF4,131,3,0.108543228704085,0.316032876257321
IKZF5,439,3,0.7435523352608,0.937181839873234
INSM1,781,9,0.249126169050004,0.519977062387672
IRF1,32,1,0.245951074712273,0.5150949042768
IRF4,66,1,0.441584591679751,0.704028856517801
IRF5,1190,6,0.952714804327502,0.988771722429438
IRF6,509,11,0.00554010450766406,0.0403891946505234
IRX2,90,3,0.0449143099384908,0.177319552819064
IRX3,104,2,0.232001309222464,0.495662752365666
IRX4,212,3,0.285364191488157,0.55377736318103
IRX6,110,1,0.621666211256546,0.849343679184551
ISL1,473,7,0.124096728938217,0.342407941699508
ISL2,394,4,0.455582920662707,0.713046389158045
ISX,777,4,0.912871063434756,0.988771722429438
JDP2,504,11,0.00515502296847356,0.0384613041788457
JUN,120,1,0.653738665178692,0.874398354685786
JUNB,52,4,0.00112327980962153,0.011282566846519
KAT7,605,2,0.970715612638314,0.988771722429438
KDM2A,582,8,0.141493661502456,0.365206612796879
KLF1,48,2,0.0664850293115293,0.236034211868069
KLF10,117,5,0.00376142874665779,0.030186255908052
KLF11,216,5,0.0422425808986601,0.170217994760424
KLF12,1043,19,0.00219611510860472,0.0196008404553038
KLF14,344,5,0.186067354699837,0.430252599850713
KLF15,663,9,0.130790679533153,0.350857019534161
KLF16,755,14,0.00706585556334742,0.0485459860647251
KLF4,12,1,0.100411383199272,0.302501170206007
KLF5,79,3,0.032396783617768,0.138739589035733
KLF6,50,1,0.35677199056241,0.625885456447749
KLF7,374,12,0.000124955112482233,0.00220435877543996
KLF8,729,13,0.0125530260179904,0.072655393013217
KLF9,68,2,0.120089003592459,0.337308818914114
L3MBTL1,649,2,0.979092778980455,0.990501699074507
LBX1,404,11,0.000936793065130064,0.00980772942071788
LBX2,385,4,0.438129601699997,0.699688577965715
LEF1,21,2,0.0144293041287801,0.078295371835142
LHX2,10,1,0.0844018933899559,0.266900027110622
LHX3,543,2,0.953282960479846,0.988771722429438
LHX4,363,2,0.830421173693603,0.971877721663469
LHX6,535,9,0.0472967374916219,0.182867952649793
LHX8,198,2,0.52035505071484,0.759845678031609
LHX9,411,4,0.488040153229581,0.734028613647929
LIN54,373,2,0.841622241253271,0.977797129436586
LMX1A,151,2,0.382998692108358,0.647369470731827
LMX1B,291,3,0.471478699363403,0.721573970980849
MAFA,27,1,0.211926699287143,0.465264362802808
MAFB,52,1,0.368037595666769,0.63508915129729
MAFF,42,2,0.0524933319035205,0.196592674383773
MAFG,36,1,0.272114646306345,0.540269204204905
MAFK,50,5,7.63637622537115e-05,0.00158537810765858
MAX,55,2,0.0841574208903892,0.266900027110622
MAZ,71,1,0.465732040284788,0.721573970980849
MBD3,419,10,0.00408002134569805,0.0322018213648069
MBD4,29,2,0.0266486911295561,0.121767942721177
MECOM,887,19,0.000326392513186564,0.00440552749578291
MEF2A,100,4,0.0117506411107908,0.0684259893951536
MEF2B,35,1,0.265659710516875,0.535242665703831
MEF2C,68,2,0.120089003592459,0.337308818914114
MEF2D,1048,22,0.000145726168220514,0.00248515161876055
MEIS1,51,2,0.0738936393182315,0.252933424906491
MEIS2,60,3,0.0158102942335927,0.0843510111345311
MEIS3,1045,32,7.25988916190962e-10,8.66649268702961e-08
MEOX1,599,13,0.0025586225758629,0.0218168264281167
MEOX2,1013,20,0.000639187836554912,0.00726695695130882
MESP1,475,2,0.92296160777929,0.988771722429438
MGA,838,10,0.203208800298258,0.450265439175955
MITF,35,1,0.265659710516875,0.535242665703831
MIXL1,382,2,0.851127879534987,0.981622180337639
MKX,187,4,0.0830040126513398,0.266900027110622
MLX,1286,11,0.578725579846689,0.813512109908745
MLXIP,725,17,0.000241488995993966,0.00354803063344981
MLXIPL,394,2,0.862997148373149,0.981622180337639
MNT,55,2,0.0841574208903892,0.266900027110622
MNX1,503,5,0.452864157805137,0.713046389158045
MSX1,681,16,0.000360144762390779,0.00458584330777592
MSX2,417,3,0.711509343990521,0.918231653393172
MTF1,1361,19,0.0311868457453632,0.135344366438174
MXD1,437,7,0.0914651360366277,0.281771628757998
MXD3,470,1,0.984770492472965,0.990664787060825
MXD4,582,8,0.141493661502456,0.365206612796879
MXI1,73,5,0.000459830255296053,0.00548922367259664
MYBL1,441,6,0.192670363102384,0.437055099198995
MYC,378,3,0.647371177883269,0.869535126411423
MYCL,391,5,0.260411905879664,0.529134830032084
MYCN,13,1,0.108311337085264,0.316032876257321
MYF6,716,6,0.602691853473002,0.836585348934181
MYNN,457,12,0.00076026422104562,0.00834542909308697
MYOG,841,11,0.123015697015297,0.342407941699508
MYRF,277,6,0.0359756622129431,0.149377206145046
MYT1L,279,1,0.915755154458007,0.988771722429438
MZF1,970,8,0.621093548450268,0.849343679184551
NANOG,46,1,0.333637668943202,0.601177309133506
NCOA2,18,1,0.14678727864006,0.373832551092074
NCOA3,23,1,0.183610495287835,0.425601997572529
NEUROD2,778,5,0.816545818344065,0.967316054139587
NEUROG1,350,4,0.369083224052352,0.63508915129729
NEUROG2,317,2,0.7692831813083,0.950442622111896
NFAT5,914,16,0.00700217583562362,0.0484570863986997
NFATC3,1346,25,0.000334971487544786,0.00440552749578291
NFATC4,1117,24,4.99911359407626e-05,0.00111026825170763
NFE2,47,3,0.00813893250380583,0.053213690893354
NFE2L1,30,2,0.0283898291052088,0.126103659513834
NFIA,15,1,0.12390469268216,0.342407941699508
NFIB,323,3,0.541057204097224,0.779350874680013
NFIC,27,1,0.211926699287143,0.465264362802808
NFIX,992,19,0.00124380879858448,0.0120719314177424
NFKB1,163,1,0.763519836883299,0.950442622111896
NFX1,597,8,0.156192904797966,0.385437271529864
NFXL1,453,2,0.909709549295828,0.988771722429438
NFYB,72,1,0.470435337662897,0.721573970980849
NHLH1,563,16,4.09108368128135e-05,0.000952923150152119
NHLH2,131,2,0.319550120271994,0.584617557202594
NKX2-1,471,5,0.397702390361074,0.660531796164914
NKX2-3,531,9,0.0454946497099794,0.177336287645022
NKX2-5,786,11,0.0870992717936463,0.27094398880434
NKX2-8,775,18,0.000177977760780758,0.00278637314009219
NKX3-2,792,8,0.393897106537519,0.657745178385241
NKX6-1,805,10,0.171922624399769,0.404730448078101
NKX6-2,455,11,0.00239261161445799,0.0209003498907667
NME2,421,7,0.0787208860594027,0.25923602133355
NOBOX,530,8,0.0963765080104368,0.293119634235564
NOTO,348,5,0.192071940342235,0.436735007206748
NPAS1,187,5,0.0248982957291199,0.116558198143674
NPAS2,531,9,0.0454946497099794,0.177336287645022
NPAS3,295,5,0.118966093683814,0.337308818914114
NPAS4,336,7,0.0293642290227137,0.128636874847209
NR1D1,430,12,0.000445444418377961,0.00538480277912599
NR1I2,166,1,0.76973419115312,0.950442622111896
NR1I3,434,4,0.530650951488512,0.767835846472013
NR2C1,851,5,0.871381853248898,0.981622180337639
NR2C2,84,1,0.523761059859157,0.761326959156004
NR2E1,526,7,0.181345078003472,0.4224013402276
NR2E3,770,7,0.516124532558827,0.758306043990277
NR2F1,66,3,0.0203519551861972,0.103936455630045
NR3C2,835,9,0.312656881819676,0.579781208034544
NR4A1,42,2,0.0524933319035205,0.196592674383773
NR4A2,793,7,0.547410950524288,0.784951137763807
NR4A3,135,6,0.00125143582236283,0.0120719314177424
NR6A1,597,8,0.156192904797966,0.385437271529864
NRF1,76,3,0.0293501646919416,0.128636874847209
NRL,753,6,0.65127042420836,0.873543897639023
OLIG1,403,1,0.97220591346727,0.988771722429438
OLIG2,840,5,0.864116145886468,0.981622180337639
OLIG3,333,1,0.947985093145428,0.988771722429438
ONECUT1,55,1,0.384568833173228,0.648874974700411
ONECUT2,425,5,0.317934528655341,0.583898990126636
ONECUT3,412,3,0.70381471696428,0.913647184536703
OSR1,262,14,8.967609403751e-08,5.35254186286388e-06
OSR2,498,19,9.6409462822489e-08,5.41594335267512e-06
OTX1,464,6,0.224221419303592,0.485492853284427
OVOL1,806,9,0.278016110091646,0.548412408072099
OVOL2,540,7,0.198080858750335,0.444054507292417
