ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0031577,spindle checkpoint signaling,17/1912,57/18842,0.298245614035088,2.93909197680394,4.92717148003941,3.17222041294332e-05,0.00450538778122503,0.00355004672423458,BUB3/DYNLL1/ZWINT/BUB1/SPC25/KLHL22/SKA3/SPC24/TTK/CDCA8/BIRC5/TRIP13/CDK5RAP2/NDC80/MAD2L1/DYNLT1/DYNC1H1,17
GO:1901796,regulation of signal transduction by p53 class mediator,26/1912,111/18842,0.234234234234234,2.30828527272042,4.64569720080677,3.66929001911309e-05,0.00507773288029573,0.00400102940158698,KAT5/SMYD2/PPP1R15A/CDK5RAP3/CHEK2/NOP2/PTTG1IP/PRMT5/BCL2L12/EP300/PAK1IP1/FAM193A/MDM2/SPRED2/HEXIM1/DVL2/USP7/MLXIPL/PYHIN1/MIF/CHEK1/HIC1/CD74/ZNHIT1/TP53RK/PML,26
GO:0033046,negative regulation of sister chromatid segregation,17/1912,58/18842,0.293103448275862,2.88841797720387,4.84044759758367,4.06689590431085e-05,0.00510442725478271,0.00402206339051417,BUB3/DYNLL1/ZWINT/BUB1/SPC25/KLHL22/SKA3/SPC24/TTK/CDCA8/BIRC5/TRIP13/CDK5RAP2/NDC80/MAD2L1/DYNLT1/DYNC1H1,17
GO:0033048,negative regulation of mitotic sister chromatid segregation,17/1912,58/18842,0.293103448275862,2.88841797720387,4.84044759758367,4.06689590431085e-05,0.00510442725478271,0.00402206339051417,BUB3/DYNLL1/ZWINT/BUB1/SPC25/KLHL22/SKA3/SPC24/TTK/CDCA8/BIRC5/TRIP13/CDK5RAP2/NDC80/MAD2L1/DYNLT1/DYNC1H1,17
GO:0045841,negative regulation of mitotic metaphase/anaphase transition,17/1912,58/18842,0.293103448275862,2.88841797720387,4.84044759758367,4.06689590431085e-05,0.00510442725478271,0.00402206339051417,BUB3/DYNLL1/ZWINT/BUB1/SPC25/KLHL22/SKA3/SPC24/TTK/CDCA8/BIRC5/TRIP13/CDK5RAP2/NDC80/MAD2L1/DYNLT1/DYNC1H1,17
GO:2000816,negative regulation of mitotic sister chromatid separation,17/1912,58/18842,0.293103448275862,2.88841797720387,4.84044759758367,4.06689590431085e-05,0.00510442725478271,0.00402206339051417,BUB3/DYNLL1/ZWINT/BUB1/SPC25/KLHL22/SKA3/SPC24/TTK/CDCA8/BIRC5/TRIP13/CDK5RAP2/NDC80/MAD2L1/DYNLT1/DYNC1H1,17
GO:0042770,signal transduction in response to DNA damage,37/1912,185/18842,0.2,1.97092050209205,4.4598070523442,4.25210138829594e-05,0.00521558890741664,0.00410965386661882,TELO2/DOT1L/RAD9A/KAT5/SMYD2/CDK5RAP3/MUS81/CHEK2/DTL/PTTG1IP/FBXO31/FANCD2/E2F7/MDC1/RBX1/MDM2/RPS27L/SPRED2/MAPK3/RBM38/PYHIN1/MIF/HINFP/CHEK1/CDC14B/STK38/CDK1/HIC1/CRADD/RAD51/TIPRL/DBF4/CLSPN/CD74/FOXN3/ZNHIT1/PML,37
GO:1902100,negative regulation of metaphase/anaphase transition of cell cycle,17/1912,60/18842,0.283333333333333,2.79213737796374,4.6724368954483,6.54818806691356e-05,0.00768273282546359,0.00605365438550343,BUB3/DYNLL1/ZWINT/BUB1/SPC25/KLHL22/SKA3/SPC24/TTK/CDCA8/BIRC5/TRIP13/CDK5RAP2/NDC80/MAD2L1/DYNLT1/DYNC1H1,17
GO:1905819,negative regulation of chromosome separation,17/1912,60/18842,0.283333333333333,2.79213737796374,4.6724368954483,6.54818806691356e-05,0.00768273282546359,0.00605365438550343,BUB3/DYNLL1/ZWINT/BUB1/SPC25/KLHL22/SKA3/SPC24/TTK/CDCA8/BIRC5/TRIP13/CDK5RAP2/NDC80/MAD2L1/DYNLT1/DYNC1H1,17
GO:0051985,negative regulation of chromosome segregation,17/1912,61/18842,0.278688524590164,2.74636463406269,4.59100672234445,8.22840810101548e-05,0.00935709431162339,0.00737297733787978,BUB3/DYNLL1/ZWINT/BUB1/SPC25/KLHL22/SKA3/SPC24/TTK/CDCA8/BIRC5/TRIP13/CDK5RAP2/NDC80/MAD2L1/DYNLT1/DYNC1H1,17
