gene,rho,is_TF
OST4,-0.574069627851141,FALSE
PPM1J,0.573301320528211,FALSE
MIR600HG,0.572821128451381,FALSE
DDX42,0.572629051620648,FALSE
CHRM3,0.572533013205282,FALSE
C9orf91,0.572052821128451,FALSE
NKX2-5,-0.571860744297719,TRUE
NSFL1C,0.571668667466987,FALSE
PDLIM1,0.571380552220888,FALSE
PISD,0.571188475390156,FALSE
EIF2B5,0.570900360144058,FALSE
TXNDC17,-0.570804321728692,FALSE
SIL1,-0.570612244897959,FALSE
PLXND1,0.570420168067227,FALSE
ZNF263,0.570228091236495,TRUE
NDUFB2,-0.570132052821128,FALSE
PITRM1,0.569555822328932,FALSE
TMEM222,0.569267707082833,FALSE
ADCY6,0.569267707082833,FALSE
SPSB4,-0.569075630252101,FALSE
RAB11B,0.568883553421369,FALSE
ADCK1,0.568499399759904,FALSE
WDR60,0.568499399759904,FALSE
GPS1,0.56811524609844,FALSE
ZNF324,0.567923169267707,TRUE
PUS1,0.567731092436975,FALSE
TMEM62,0.567635054021609,FALSE
KIAA0195,0.567539015606243,FALSE
GALK2,-0.567442977190876,FALSE
OPN3,-0.566962785114046,FALSE
C15orf17,0.566962785114046,FALSE
POLR2G,-0.566770708283313,FALSE
ZNF395,0.566674669867947,TRUE
DVL2,0.566674669867947,FALSE
TRPC4AP,0.566194477791116,FALSE
DCAF15,0.566002400960384,FALSE
SLC9A8,0.56561824729892,FALSE
SUN2,0.565522208883554,FALSE
PACSIN3,0.565522208883554,FALSE
LMBR1L,0.565042016806723,FALSE
RBAK-LOC389458,-0.564945978391357,FALSE
RGL2,0.564753901560624,FALSE
SNRPA,0.564753901560624,FALSE
PILRA,0.564177671068427,FALSE
BIN3,0.563985594237695,FALSE
PAN2,0.563985594237695,FALSE
TIMM8B,-0.563889555822329,FALSE
RAD9A,0.563793517406963,FALSE
TBC1D3,-0.563697478991597,FALSE
LOC401397,-0.563697478991597,FALSE
LOC392196,-0.563505402160864,FALSE
NPHP4,0.563025210084034,FALSE
TRIM50,0.562064825930372,FALSE
SCNN1A,0.561776710684274,FALSE
PMF1,0.561680672268908,FALSE
OSTCP1,-0.561488595438175,FALSE
SECISBP2,0.561488595438175,FALSE
SYNGR4,-0.561392557022809,FALSE
PHLDB1,0.561296518607443,FALSE
CCDC150,-0.561200480192077,FALSE
DNM1,-0.561008403361345,FALSE
CARD10,0.561008403361345,FALSE
CRTAP,0.56062424969988,FALSE
FLNB,0.56062424969988,FALSE
SPRED2,0.560240096038415,FALSE
EHMT2,0.560144057623049,FALSE
TMEM68,-0.560048019207683,FALSE
AP2A1,0.559951980792317,FALSE
NPIPL2,0.559759903961585,FALSE
KAT5,0.559663865546219,FALSE
BAG6,0.559471788715486,FALSE
RING1,0.559471788715486,FALSE
ZNF276,0.558991596638656,TRUE
WFS1,0.558991596638656,FALSE
WDR74,0.558799519807923,FALSE
GTF2H4,0.558703481392557,FALSE
PLAU,-0.558511404561825,FALSE
LOC339803,-0.558511404561825,FALSE
