logFC,AveExpr,t,P.Value,adj.P.Val,B,tf
0.47459905449486,0.0398460616772408,7.96350993327345,1.74968409775789e-10,1.00949165118466e-08,13.7488344193712,ZNF536
0.401658576781458,0.00519146285837843,7.92715658911631,1.99338942087634e-10,1.10217823395954e-08,13.6208656776794,ZNF774
0.501366408970413,0.047384430344472,7.8656159195956,2.48623814552468e-10,1.3196952076445e-08,13.4040562638747,BNC2
0.478188021497946,0.0216915958641874,7.81177877724433,3.01690896483572e-10,1.53978392166807e-08,13.2142111569962,ZNF781
0.321537796268714,0.0285135476477945,7.71893166602625,4.21334390007114e-10,2.07078050199793e-08,12.8864457560034,ARNT2
0.450824693877982,0.0134052529653868,7.51372706246032,8.82888383861908e-10,4.18426030494554e-08,12.1606191833677,SALL2
0.444969773937023,0.0540099735597818,7.46682793354089,1.04579649527947e-09,4.74745735791861e-08,11.9944970319146,HAND2
0.310971697071577,0.035168621578292,7.45964659799321,1.07327596637195e-09,4.74745735791861e-08,11.9690531598901,PKNOX2
0.484290567421094,0.0491955478559996,7.42805472267613,1.20302513770643e-09,5.14972373463366e-08,11.857101172838,PRDM16
0.708473714505252,0.0109419089339373,7.35679857059809,1.55640683295331e-09,6.45422458540325e-08,11.6044785349172,ZNF233
0.503134638110533,0.0436905766674606,7.26925478003605,2.13616853943436e-09,8.58998682372544e-08,11.2939264474298,HOXA3
0.389760317974108,0.0401556649241357,7.26079000371086,2.20260687122656e-09,8.59664505328719e-08,11.2638892192709,PEG3
0.530614601005537,0.0305776944060188,7.18346255951316,2.91397350262541e-09,1.10481223942398e-07,10.9894295518794,ZNF519
0.362223346401289,0.0420404179651464,7.13164502952067,3.51535441144514e-09,1.29579869555214e-07,10.8054591463863,NPAS4
1.10009978635943,0.0147097418550445,7.0443172547212,4.8232631912961e-09,1.72985682563511e-07,10.4953485510957,NR0B1
0.416366918787347,0.00158047860362195,7.0240111257183,5.19147479162712e-09,1.79049226557392e-07,10.4232314902093,ZNF487
-0.44094886983017,-0.0339984626340449,-7.02027709746588,5.2621852567734e-09,1.79049226557392e-07,10.4099699215648,PRDM5
0.620427438845261,0.0256198147065171,6.96412017964272,6.44963457267558e-09,2.12882790380162e-07,10.210522122322,ZNF660
-0.802380529256829,0.021712203854031,-6.95870731843758,6.57738839908563e-09,2.12882790380162e-07,10.1912975965593,ARID3A
0.31929857567454,-0.000649747372514925,6.84918601473363,9.78192814203924e-09,3.0906234867824e-07,9.80234044225084,ZFHX2
0.492854430348698,0.0448201858336998,6.75637014469307,1.36931841115451e-08,4.22578030605124e-07,9.47279688038848,ZFPM2
0.324406275882845,0.0312903344571256,6.71330621351193,1.60056810899687e-08,4.77559967453627e-07,9.31994397873172,TCF21
0.437389335484015,0.00149346743153001,6.71006821156609,1.61945731238984e-08,4.77559967453627e-07,9.3084523462628,ZNF19
0.577065962535389,0.00872828406558036,6.67119988802319,1.86435658597001e-08,5.37826345561347e-07,9.17052706423555,ZNF559
0.22000048326165,0.0199840960969477,6.636411262369,2.11476268405606e-08,5.97082996115403e-07,9.04710962402287,LMX1B
0.48114023441823,0.0320450542510481,6.62277711236222,2.22182528493955e-08,6.14242115232246e-07,8.99874939459018,TRERF1
0.225677626214477,0.0378238905220599,6.60910499735956,2.33462162021533e-08,6.20945073845527e-07,8.95025981336034,HOXB7
0.50715257330875,0.00849972489578,6.60851009481205,2.33965739956868e-08,6.20945073845527e-07,8.94815005362363,ZNF454
0.455987691910675,-0.00832915116044161,6.54272162761714,2.96904394936589e-08,7.61996711453934e-07,8.71490716761731,ZNF713
0.550657268890427,0.0151506953935762,6.54115144837871,2.98597053471022e-08,7.61996711453934e-07,8.70934211745022,ZNF334
-1.46032830614745,0.113578729392915,-6.47595137914116,3.78076469039362e-08,9.31808498599806e-07,8.47834105458151,GATA1
0.213406285474195,0.0298584820676358,6.47514337888075,3.79183563861263e-08,9.31808498599806e-07,8.47547940230169,MEOX1
-0.193140454114512,-0.0114086564327428,-6.45814534572797,4.03238251915966e-08,9.72903927804521e-07,8.41528474772164,HES1
0.417278863081377,0.032472096060222,6.4399046715666,4.3074720769428e-08,1.02071704394698e-06,8.35070349509619,NANOG
0.204522982956838,0.0160818155735495,6.3728016379579,5.49056227982296e-08,1.2782414290044e-06,8.1132579693745,SOX15
0.371875918565043,0.0431122761614586,6.36276297093431,5.69348022437105e-08,1.28516922641677e-06,8.07775512512238,PRDM8
0.273662643056639,0.0235103374825477,6.36176701346465,5.71401540004441e-08,1.28516922641677e-06,8.0742330986855,PRDM6
0.41294719773309,0.0489611133215265,6.33763828221831,6.23471764672924e-08,1.37891171953495e-06,7.98892225924488,TSHZ2
0.444979373745286,0.0172321867866129,6.32872554113849,6.43879686474389e-08,1.4007022031992e-06,7.95741788902674,ZNF790
0.44403696347351,0.0537006464833849,6.28774286635734,7.46629749331834e-08,1.59802851187636e-06,7.81261210241559,NFIB
-0.778496959669871,0.0480287943773842,-6.26560837229551,8.08760742500095e-08,1.70353254809147e-06,7.73444465312124,E2F5
0.287775523462169,0.0347076257724982,6.2597630332444,8.26011272616596e-08,1.71268274806597e-06,7.71380699393122,EMX2
-0.466281775771507,0.0529309539673477,-6.24479686200319,8.7186803207715e-08,1.77995212087135e-06,7.66097694277924,JUND
0.483123423954281,0.0286804467965319,6.23281974036697,9.103862706853e-08,1.83042815333241e-06,7.61870844295474,ZNF793
0.433944533710471,0.0175935160246086,6.19216507192424,1.05421908137978e-07,2.08798316565815e-06,7.47530474273331,ZNF607
0.52383321068412,0.0300097269454423,6.17019456888693,1.1411488975027e-07,2.21360648206765e-06,7.39785413526433,ZNF404
