donor,predicted_state,gene,mean_log_expression,z
113,HomC,LRRC38,0,-0.378241867862281
113,HomC,WNT16,0.000398698137911004,-0.541326242504186
113,HomC,KRTAP2-3,0,-0.218217890235992
113,HomC,TAC1,0.0332719081545338,-0.590757043831733
113,HomC,GCSAM,0,-0.218217890235992
113,HomC,DCLK1,0,-0.380257837180033
113,HomC,TCN1,0,0
113,HomC,RETN,0,0
113,HomC,PGLYRP1,0,0
113,HomC,PADI4,0,0
113,HomC,MS4A3,0,0
113,HomC,MNDA,0,-0.23862544344358
113,HomC,RNASE6,0,-0.235947057269194
113,HomC,SPI1,0.00238003764184925,-0.329223304762161
113,HomC,CLDN10,0,-0.332169031798302
113,HomC,LY6D,0.000793478201453882,-0.698275488223277
113,HomC,TNFAIP6,0.0248317358970574,-0.540884857306955
113,HomC,FAM159B,0.000970328238206563,-0.472276243420519
113,HomC,PRG4,0.175611714665078,-0.895627082676554
113,HomC,F5,0.0257751941736374,-0.600566701233618
113,HomC,SOX11,0.00187943049057305,-0.437468277239492
113,HomC,AMTN,0.0495142088978935,-0.24044414984134
113,HomC,DEFB1,0.0120033928296037,-0.420432146791041
113,ProC,CCDC160,0,-0.543696547439079
113,ProC,ANKRD1,0,-0.304245898766611
113,ProC,SPINK1,0,-0.52514464239922
113,ProC,CLDN4,0.00693385890051003,-0.00539634660840082
113,ProC,TMEM156,0.000803808464026898,-0.425616085188999
113,ProC,FAM170B,0,-0.352126787991565
113,ProC,MTBP,0.00113490485133292,-0.896600743510552
113,ProC,ROBO4,0,-0.309096904528277
113,ProC,TEK,0,-0.29155837573271
113,ProC,EBF2,0,-0.248236114555004
113,ProC,NR2F2-AS1,0,-0.237416964681221
113,ProC,CRYBB1,0,-0.312980642444085
113,ProC,CRIP3,0,-0.323865888544622
113,ProC,ADAD2,0,-0.320872173109454
113,ProC,ARHGEF15,0.000392343545094721,-0.231358549765372
113,ProC,ROPN1,0,-0.505733199781978
113,ProC,PLA2G10,0,-0.393328994646316
113,ProC,HIST1H2AH,0.00093543002499995,-0.471678161422917
113,ProC,HIST1H2BE,0,-0.248716416393874
113,ProC,RAPGEF4-AS1,0,-0.218217890235992
113,ProC,DRAXIN,0,-0.770203633274131
113,ProC,DHH,0,-0.276740729461188
113,ProC,CCL18,0,-0.241301824127722
113,ProC,LCK,0,-0.374092873287016
113,ProC,HBA2,0.000195000464954146,-0.584183951292191
113,ProC,HBA1,0,-0.583010545289258
113,ProC,DMP1,0,-0.344328454429059
113,ProC,BNC1,0,-0.322509438851439
113,ProC,SLA2,0,-0.587182523459391
113,ProC,LCE1E,0,0
113,ProC,GDNF,0.00968026769232248,2.39831978421504
113,ProC,MMP1,0.0202175964078096,3.67020598771425
113,ProC,S100A2,0.0560594782060706,0.0319642783597526
113,ProC,LRRC38,0.00253235382812521,3.3773535183632
113,ProC,WNT16,0.00747668779355681,-0.346410232677675
113,ProC,KRTAP2-3,0.000395327074944429,4.36435780471985
113,ProC,TAC1,0.126337736780245,0.514025974287587
113,ProC,GCSAM,0,-0.218217890235992
113,ProC,DCLK1,0.000677585641261672,-0.332095490197747
113,ProC,TCN1,0,0
113,ProC,RETN,0,0
113,ProC,PGLYRP1,0,0
113,ProC,PADI4,0,0
113,ProC,MS4A3,0,0
113,ProC,MNDA,0,-0.23862544344358
113,ProC,RNASE6,0.000579439463728117,-0.199819586698441
113,ProC,SPI1,0.00239311333568728,-0.328711209019762
113,ProC,CLDN10,0,-0.332169031798302
113,ProC,LY6D,0.00450147896003622,-0.295412236025778
113,ProC,TNFAIP6,0.0490119521800408,-0.476016963213158
113,ProC,FAM159B,0.00375539768461719,-0.238194277705168
113,ProC,PRG4,0.160582966222171,-0.927680069069561
113,ProC,F5,0.0411220293628885,-0.448235186753523
113,ProC,SOX11,0.00545813446804182,-0.359898941522545
113,ProC,AMTN,0.0993910812900597,0.265175128617463
113,ProC,DEFB1,0.0296151704354944,-0.170633460869574
