gene,logFC,P.Value,adj.P.Val,status,is_piezo
LOC286367,-1.6573158732,2.64192016304191e-09,3.95730423632346e-07,Lateral higher,FALSE
C16orf59,1.1040141785,2.65615308249e-09,3.95730423632346e-07,Medial higher,FALSE
AIM1,-1.0350106478,2.69201839619038e-09,3.98345470434919e-07,Lateral higher,FALSE
GPR146,-1.29881305885,2.72815780164158e-09,3.98854951931728e-07,Lateral higher,FALSE
SPHK1,0.9514822006,2.73529931861733e-09,3.98854951931728e-07,Medial higher,FALSE
MRC2,0.9832971088,2.7504708895623e-09,3.98854951931728e-07,Medial higher,FALSE
ADRB1,-2.6435704135,2.83021843306074e-09,4.07701399708193e-07,Lateral higher,FALSE
REEP1,1.1711283478,2.87985082570785e-09,4.12121810268403e-07,Medial higher,FALSE
TM7SF2,-1.40676035155,2.94621506793378e-09,4.18863203645069e-07,Lateral higher,FALSE
GRP,2.24833954885,3.08792420101161e-09,4.31790674353896e-07,Medial higher,FALSE
MGAT3,-0.9518573239,3.08847807256088e-09,4.31790674353896e-07,Lateral higher,FALSE
PLD6,-1.1366857247,3.11880635349729e-09,4.31790674353896e-07,Lateral higher,FALSE
CCDC69,-1.36605964565,3.11989238684256e-09,4.31790674353896e-07,Lateral higher,FALSE
ZFHX2,-0.96882461985,3.13639787366291e-09,4.31790674353896e-07,Lateral higher,FALSE
PAX1,2.23915464565,3.20180507684804e-09,4.3802304422389e-07,Medial higher,FALSE
WFS1,-1.3866004435,3.22310232638304e-09,4.38180761271775e-07,Lateral higher,FALSE
COX6A2,1.10847392095,3.28192805694685e-09,4.43406826675204e-07,Medial higher,FALSE
MLLT11,1.1100155794,3.5114259296169e-09,4.68810421468648e-07,Medial higher,FALSE
PRTFDC1,0.83168663755,3.51306080817349e-09,4.68810421468648e-07,Medial higher,FALSE
RAB23,1.1041065934,3.60642931481817e-09,4.74332526635694e-07,Medial higher,FALSE
TIMP4,-2.25114665715,3.62684451368009e-09,4.74332526635694e-07,Lateral higher,FALSE
PRSS23,1.7508011258,3.64533625841939e-09,4.74332526635694e-07,Medial higher,FALSE
LEP,-4.5404719468,3.66172276061616e-09,4.74332526635694e-07,Lateral higher,FALSE
PDE3B,-2.23256402225,3.66347298983066e-09,4.74332526635694e-07,Lateral higher,FALSE
CAV2,-1.1444760493,3.74416235017059e-09,4.81911357638525e-07,Lateral higher,FALSE
PLEKHA6,-2.7544260643,3.95963037881076e-09,5.06294726168423e-07,Lateral higher,FALSE
MYOM1,-2.03458948145,3.98015806246783e-09,5.06294726168423e-07,Lateral higher,FALSE
LOC401052,-1.6698488258,4.00510984861451e-09,5.06506682715481e-07,Lateral higher,FALSE
FAH,-1.0625928262,4.21738963549682e-09,5.30269707233103e-07,Lateral higher,FALSE
MIR600HG,-1.5576362395,4.30940351543488e-09,5.387249728031e-07,Lateral higher,FALSE
HOGA1,-1.12537153595,4.43121791772781e-09,5.50275342896047e-07,Lateral higher,FALSE
SERPINH1,1.3547159126,4.45239335921774e-09,5.50275342896047e-07,Medial higher,FALSE
EPB41L1,-0.9682050722,4.69515108473893e-09,5.76999584153905e-07,Lateral higher,FALSE
CTHRC1,2.3808876756,4.77701483448002e-09,5.83761947638255e-07,Medial higher,FALSE
LOC100131176,-1.389556577,4.84165214468647e-09,5.83808719093751e-07,Lateral higher,FALSE
FAM149A,-1.2142658651,4.85227837127342e-09,5.83808719093751e-07,Lateral higher,FALSE
BHMT2,-1.42611639465,4.85791550919313e-09,5.83808719093751e-07,Lateral higher,FALSE
VCAN,1.37609715845,4.94075705228308e-09,5.90501908798141e-07,Medial higher,FALSE
C1QTNF5,1.02460951025,5.31186222405401e-09,6.22551044347774e-07,Medial higher,FALSE
SLC16A3,1.40408967345,5.34064090684052e-09,6.22551044347774e-07,Medial higher,FALSE
BAMBI,1.5890557265,5.35615016416638e-09,6.22551044347774e-07,Medial higher,FALSE
COL18A1,1.3825848109,5.36129252910069e-09,6.22551044347774e-07,Medial higher,FALSE
CRYAB,-1.7170324828,5.3873755503158e-09,6.22551044347774e-07,Lateral higher,FALSE
TSTD1,-1.454248307,5.41852587840031e-09,6.22551044347774e-07,Lateral higher,FALSE
TCEAL7,1.06067886375,5.42549113730146e-09,6.22551044347774e-07,Medial higher,FALSE
DGAT1,-1.05241625225,5.4378769044721e-09,6.22551044347774e-07,Lateral higher,FALSE
PKP2,-2.9203421558,5.54783154715119e-09,6.29415173959407e-07,Lateral higher,FALSE
UVRAG,-0.9279339553,5.56050751828966e-09,6.29415173959407e-07,Lateral higher,FALSE
FASN,-1.32447514515,5.58464180646219e-09,6.29415173959407e-07,Lateral higher,FALSE
COPG2IT1,-2.8772875547,5.66419931647798e-09,6.32841109615724e-07,Lateral higher,FALSE
GDF11,1.10127932715,5.67431963830541e-09,6.32841109615724e-07,Medial higher,FALSE
MYO16,-3.143815553,5.70231967105011e-09,6.32841109615724e-07,Lateral higher,FALSE
LOC100130776,0.8742062328,5.80889975094422e-09,6.41396890266694e-07,Medial higher,FALSE
ATP10A,1.25200639565,5.96593292222454e-09,6.55387851203588e-07,Medial higher,FALSE
KCNN4,1.58583831545,5.99587083438369e-09,6.55387851203588e-07,Medial higher,FALSE
CERCAM,1.7065530215,6.07023199426203e-09,6.60198431695938e-07,Medial higher,FALSE
MYO7A,-1.01399567075,6.1428023283739e-09,6.64767344511389e-07,Lateral higher,FALSE
ACSM5,-1.8229706325,6.17659138214707e-09,6.65114929428035e-07,Lateral higher,FALSE
RDH5,-2.117033938,6.21599429862735e-09,6.66060630461783e-07,Lateral higher,FALSE
PARD6B,-1.26370794915,6.25984391422203e-09,6.67471200108616e-07,Lateral higher,FALSE
LOC401431,-1.07952417765,6.3276293062615e-09,6.71407769120976e-07,Lateral higher,FALSE
SULT1A2,-1.18087944915,6.36462529502944e-09,6.72054997172235e-07,Lateral higher,FALSE
CREB3L1,1.00885719975,6.44061850360026e-09,6.76793882561898e-07,Medial higher,FALSE
TMEM133,-0.8383640745,6.55697412694043e-09,6.84581747061547e-07,Lateral higher,FALSE
CEBPA,-2.2885205245,6.57767493268956e-09,6.84581747061547e-07,Lateral higher,FALSE
HOXA3,-1.0403249312,6.75685626868109e-09,6.98046592228703e-07,Lateral higher,FALSE
FGF13,-1.3442908173,6.77123165503201e-09,6.98046592228703e-07,Lateral higher,FALSE
CAT,-1.2763615095,6.87514666117415e-09,7.04018960607989e-07,Lateral higher,FALSE
AQP7,-2.841738269,6.89389658925623e-09,7.04018960607989e-07,Lateral higher,FALSE
C3,-1.93742210835,6.9564567513472e-09,7.07088071286468e-07,Lateral higher,FALSE
SLITRK4,-1.2838218263,7.35484790512209e-09,7.4410535642891e-07,Lateral higher,FALSE
SCML2,-1.24711813855,7.46867369607824e-09,7.50598402594374e-07,Lateral higher,FALSE
LOC100287221,2.53817171525,7.50905631092014e-09,7.50598402594374e-07,Medial higher,FALSE
PHLDA3,-1.06865000865,7.52254743313597e-09,7.50598402594374e-07,Lateral higher,FALSE
FADS2,1.26680717535,7.6013470327694e-09,7.54868245283576e-07,Medial higher,FALSE
BANK1,-0.97458492885,7.63474687212149e-09,7.54868245283576e-07,Lateral higher,FALSE
KLHL30,-1.6871663088,7.83248665319451e-09,7.70915156924375e-07,Lateral higher,FALSE
PIK3C2B,-0.94333295895,7.92202724265182e-09,7.76215930550281e-07,Lateral higher,FALSE
OSTCP1,1.23853912195,8.05906606177591e-09,7.86102264465245e-07,Medial higher,FALSE
ANGPT1,-1.62631249125,8.09666699526354e-09,7.8624419857577e-07,Lateral higher,FALSE
RGS13,2.0316721705,8.33192001152922e-09,8.03774376906125e-07,Medial higher,FALSE
EHD2,-0.7732391404,8.36955632866168e-09,8.03774376906125e-07,Lateral higher,FALSE
EMX2OS,-1.5706265079,8.42133134443048e-09,8.03774376906125e-07,Lateral higher,FALSE
TMEM56,-1.575789344,8.42499806613629e-09,8.03774376906125e-07,Lateral higher,FALSE
CRLF1,2.4351771308,8.48080159021463e-09,8.05565048866152e-07,Medial higher,FALSE
C14orf43,-0.75788259605,8.54765202763175e-09,8.08384899587156e-07,Lateral higher,FALSE
NRXN3,-1.0271093393,8.70859330191279e-09,8.20040352827736e-07,Lateral higher,FALSE
BOK,-1.32143585585,8.79802807999032e-09,8.23291199989365e-07,Lateral higher,FALSE
SHMT1,-1.1190649747,8.81881434339472e-09,8.23291199989365e-07,Lateral higher,FALSE
ADCY5,-1.20580732635,9.53676027875142e-09,8.84061319010877e-07,Lateral higher,FALSE
KLF11,-0.7202646736,9.55104863771406e-09,8.84061319010877e-07,Lateral higher,FALSE
EPB41L4B,-1.318661372,9.70480092854848e-09,8.94486566939774e-07,Lateral higher,FALSE
HCAR3,-2.352043224,9.83004212555381e-09,9.02207073059268e-07,Lateral higher,FALSE
ADIPOR2,-0.6970641647,9.9999268419834e-09,9.07180551974665e-07,Lateral higher,FALSE
PYCR1,1.9533064859,1.00252095029968e-08,9.07180551974665e-07,Medial higher,FALSE
SYNJ2,0.8436307946,1.00502545595285e-08,9.07180551974665e-07,Medial higher,FALSE
PRR16,1.2403564245,1.00812170147729e-08,9.07180551974665e-07,Medial higher,FALSE
PLEKHG5,-1.19749903905,1.00927589912591e-08,9.07180551974665e-07,Lateral higher,FALSE
TMED3,1.21791319465,1.02050850558596e-08,9.13502099321228e-07,Medial higher,FALSE
GPR158,1.6317710167,1.04274706684602e-08,9.29583368771909e-07,Medial higher,FALSE
PRDM16,-1.2921071943,1.07320242125096e-08,9.52828533349017e-07,Lateral higher,FALSE
GPD1L,-1.08985286405,1.08060476018398e-08,9.5550059933016e-07,Lateral higher,FALSE
ABHD15,-0.8823695612,1.09298303293438e-08,9.59227751405578e-07,Lateral higher,FALSE
FMO2,-2.8600603868,1.09779832240719e-08,9.59227751405578e-07,Lateral higher,FALSE
LOC100653224,-1.365480385,1.10174067809348e-08,9.59227751405578e-07,Lateral higher,FALSE
POSTN,3.9681105235,1.1045850336519e-08,9.59227751405578e-07,Medial higher,FALSE
GPSM2,1.46366842095,1.10686909526848e-08,9.59227751405578e-07,Medial higher,FALSE
CLIC6,-1.1922800987,1.11271353396596e-08,9.60466063128076e-07,Lateral higher,FALSE
SLC6A16,-1.4241267062,1.13003749332956e-08,9.71564251182001e-07,Lateral higher,FALSE
LIPE,-3.122543194,1.13714124640653e-08,9.73822692591923e-07,Lateral higher,FALSE
ALX4,1.37763068465,1.14175140979181e-08,9.73936339834957e-07,Medial higher,FALSE
CD276,1.2264993665,1.16268562122319e-08,9.87919438783075e-07,Medial higher,FALSE
SNED1,0.8209243293,1.17984508476203e-08,9.98598843725438e-07,Medial higher,FALSE
TEAD4,0.8463669765,1.18912374840461e-08,1.00133249017353e-06,Medial higher,FALSE
COL4A3BP,-0.7792606346,1.19228169802751e-08,1.00133249017353e-06,Lateral higher,FALSE
ANKRD20A8P,-2.0411114245,1.20466562110993e-08,1.00454508280827e-06,Lateral higher,FALSE
ERMN,1.4977065287,1.20534326320779e-08,1.00454508280827e-06,Medial higher,FALSE
FADS3,-1.14227522,1.2127332219865e-08,1.00634856990659e-06,Lateral higher,FALSE
