p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene
0.502608268342503,-0.387687506336778,0.024,0.017,1,RAET1E
0.502608268342503,-0.284530134493187,0.024,0.017,1,RAPGEFL1
0.502672687968637,1.00374002620362,0.067,0.054,1,MMP19
0.503091102884046,-0.361476956006381,0.328,0.295,1,HMGN5
0.503302367805491,-0.483105706991751,0.479,0.498,1,SPRYD4
0.503544643892609,-0.565406221511901,0.024,0.017,1,THEMIS2
0.503800558249679,-1.31709933944153,0.059,0.071,1,NAT6
0.503829116886291,-0.307692865190028,0.387,0.344,1,TMEM181
0.504216596391091,1.30607578441805,0.114,0.1,1,MEN1
0.504481939737794,-0.458424417349918,0.024,0.017,1,ZNF879
0.505098112820309,-0.277750281906297,0.075,0.062,1,SAMD9
0.505229840834655,-0.814233459773517,0.014,0.021,1,LOC101927619
0.505804259743595,-0.467146485579145,0.179,0.195,1,SMIM8
0.505941247475005,0.566551686387804,0.106,0.091,1,DBNDD1
0.50616896939837,-0.448687743140203,0.051,0.062,1,MKL2
0.506311146409693,-1.47329888381828,0.014,0.021,1,AGAP7P
0.506311146409693,-1.21186488554436,0.014,0.021,1,LINC01317
0.506341163588812,-0.853093171809008,0.071,0.058,1,FZR1
0.50635928783277,-0.606019126396171,0.024,0.017,1,CDS1
0.506600296447081,-1.23374525445006,0.228,0.195,1,NOS2
0.50705556338722,-0.397503166968831,0.35,0.311,1,EXTL2
0.507130839052143,-0.57286980933286,0.09,0.104,1,EHMT2
0.5072412379653,-0.406960451567427,0.128,0.108,1,RANBP10
0.507299337829586,-0.709320120264996,0.024,0.017,1,EPPK1
0.507299337829586,-0.414509340834029,0.024,0.017,1,HOXA4
0.507299337829586,-0.818580803861878,0.024,0.017,1,PCAT5
0.507299337829586,-0.625918885098137,0.024,0.017,1,RGPD4
0.507536866735411,-0.61885598505876,0.165,0.183,1,CYP39A1
0.507748332135214,-0.505163464548057,0.34,0.299,1,PCNT
0.507973374568593,-0.673256492670989,0.039,0.05,1,LOC100996437
0.508114293766496,-1.19444454163224,0.033,0.041,1,CCDC152
0.508240303615537,-0.893008967894559,0.024,0.017,1,HMGN2P46
0.508325362796197,-0.559753071942158,0.067,0.054,1,ST6GALNAC2
0.508477403636366,-1.169756588275,0.014,0.021,1,ATP1B4
0.508486128499939,0.954803940264371,0.039,0.029,1,ZNF860
0.508530497254108,-0.43877754914258,0.295,0.257,1,EPB41L5
0.509091687647813,-0.624429931607095,0.063,0.075,1,PCAT7
0.509182184051491,-1.30491782817104,0.024,0.017,1,HSD17B6
0.509459884920349,-0.435854188085733,0.067,0.054,1,LOXL1
0.50949229541,-0.532976878775567,0.259,0.224,1,DPAGT1
0.509525407683043,-0.254526901136405,0.193,0.17,1,LOC643387
0.509562351815368,-1.05115887512949,0.014,0.021,1,IRX1
0.509720006755327,0.440702993636163,0.175,0.162,1,NPTX2
0.509825597066081,-0.282838341442188,0.462,0.415,1,RPL23AP53
0.509920777466889,0.41717379982948,0.09,0.075,1,SHPK
0.510239534895604,-0.733812252597939,0.029,0.037,1,USP44
0.510455203871733,-0.375102643980136,0.33,0.353,1,PRKACB
0.510579425816967,0.382285699799493,0.212,0.191,1,HABP4
0.51059570598125,0.404836762288491,0.193,0.178,1,TMPO
0.510648510708244,-0.968114282619388,0.014,0.021,1,HNF4A-AS1
0.510648510708244,-1.11903182689161,0.014,0.021,1,MLC1
0.510648510708244,-1.25580683898896,0.014,0.021,1,TCP10L
0.510768721434338,0.658750526947988,0.132,0.116,1,SLC25A45
0.511054765120379,-0.626973338594401,0.138,0.154,1,LIPT1
0.511159613305206,-0.571597622310318,0.242,0.253,1,FAN1
0.511268600846826,-0.259485716695826,0.208,0.178,1,OSGIN1
0.511732900389465,-1.02292141629039,0.067,0.054,1,NOS3
0.511735878556464,-0.983110756684528,0.014,0.021,1,LOC100288748
0.511735878556464,-1.28209663080708,0.014,0.021,1,PDZD7
0.511836705596055,1.03939506903303,0.043,0.033,1,RNF138P1
0.512063552339078,-0.34511263815857,0.112,0.095,1,WDR53
0.512237623530856,-0.585644498856039,0.222,0.237,1,CDK5RAP1
0.512824453592623,-1.68730355280869,0.014,0.021,1,PLLP
0.51307424293069,-0.806251691893269,0.126,0.141,1,CHEK2
0.513131619101715,-0.351782146066088,0.375,0.34,1,NMRAL1
0.513327475608396,-0.803113975352198,0.053,0.041,1,LOC100049716
0.513632663651104,0.398978312278021,0.411,0.394,1,ST6GALNAC6
0.513803791439198,0.830027454996936,0.061,0.05,1,PLD2
0.513905265757937,-2.03777292790229,0.024,0.017,1,LOC100506476
0.513914234040446,-1.1554645877975,0.014,0.021,1,C2orf88
0.513914234040446,-1.20288532027407,0.014,0.021,1,GDAP1L1
0.514034763579449,-0.422359859283278,0.047,0.058,1,EEPD1
0.514369519721205,-0.32978225191067,0.415,0.432,1,C4orf27
0.514954274591425,-0.253025330219561,0.332,0.299,1,CXorf40A
0.515109295376158,0.307388356439509,0.171,0.154,1,MAP1S
0.515158366012798,1.92288336908781,0.073,0.087,1,EREG
0.51543986024993,-0.603445714854808,0.397,0.411,1,UBR1
0.515598791228367,-0.413391173060729,0.13,0.145,1,CTU2
0.515797530875523,-0.699445696972923,0.096,0.079,1,KIAA1407
0.515891464815714,0.488302447200244,0.456,0.44,1,RASGEF1B
0.515952679549973,-0.372953024391162,0.039,0.029,1,GAST
0.516097404021656,-1.92113378840778,0.014,0.021,1,GFRA1
0.516097404021656,-0.548727444113753,0.014,0.021,1,LOC100133315
0.516097404021656,-1.00841189592882,0.014,0.021,1,SNORA20
0.516370341697541,0.49828425257607,0.075,0.062,1,GSAP
0.516716659084119,-1.45671584870925,0.175,0.191,1,ANGPT2
0.517167819696636,0.330046263519251,0.336,0.32,1,HSBP1L1
0.51719078995819,-0.579708177137255,0.014,0.021,1,GUCY1A2
0.5174506486039,0.401517649815237,0.075,0.062,1,LOC155060
0.517452785382404,-0.485545038477652,0.039,0.029,1,SAMD5
0.517890146246999,-0.280821077472435,0.134,0.116,1,AGPAT3
0.518285374112689,-0.796708362290872,0.014,0.021,1,KLHL6
0.518285374112689,-0.414464693828847,0.014,0.021,1,TTC23L
0.51895514557742,-0.375916334664797,0.039,0.029,1,ST3GAL5
0.518969260142478,-0.440942257205557,0.377,0.386,1,MRPL46
0.519203004626145,-0.351383681837208,0.159,0.141,1,ATF5
0.519381154664607,-1.83501250713028,0.014,0.021,1,POF1B
0.519538804633345,0.516466567864717,0.116,0.1,1,ATCAY
0.519591815369612,-0.844404595080873,0.145,0.124,1,LOC100996291
0.519820599314318,-0.40344226457102,0.073,0.087,1,TLE2
0.520478129784565,-0.85889810108038,0.014,0.021,1,PTPRN2
0.521279897860363,-0.26843921738948,0.24,0.212,1,GUSBP4
0.521370724125864,-1.05776579583214,0.029,0.037,1,CCDC157
0.521576297634351,-0.724553840772023,0.014,0.021,1,RGS4
0.521998560923654,-0.32036570041802,0.198,0.22,1,ALG10B
0.52203802654281,0.571395774780774,0.183,0.162,1,MMS22L
0.522038745515446,0.627451639421,0.088,0.075,1,RFC5
0.5220689028907,-0.929331460464781,0.165,0.145,1,CADM1
0.522298510787985,-0.715589865155214,0.055,0.066,1,ZNF599
0.522402366481137,-3.4018833513125,0.063,0.075,1,IGLL5
0.522675656366929,-0.31916519359987,0.014,0.021,1,ADCY4
0.52272668184698,-0.415956651241931,0.11,0.095,1,ORAI1
0.522823986772955,0.306979773524524,0.132,0.116,1,GEN1
0.522948457271562,0.937993623897505,0.065,0.054,1,MARK4
0.522969045985805,-0.744093441294075,0.053,0.041,1,HDAC10
0.52309822160232,1.94359847807476,0.033,0.041,1,SLCO2B1
0.523156902534751,0.373260591966989,0.092,0.079,1,DNHD1
0.523183767810509,-0.595829187554979,0.21,0.183,1,SKIV2L
0.523445955089883,0.638217089665353,0.159,0.141,1,SLC38A9
