gene,F,P.Value,adj.P.Val
CEMP1,2.08118323710347,0.0778107453523667,0.265334312084669
SYDE1,2.08102997987723,0.077830813699428,0.265365279966443
AKR1B15,2.08087706223221,0.0778508426677726,0.26539610486305
MPG,2.08052683591983,0.0778967340428468,0.265515074419543
RHBDF2,2.08024168691679,0.0779341178146153,0.265605015884917
EXOG,2.08012586591932,0.0779493072994734,0.265619302935127
RNF146,2.07992771761709,0.0779753004688876,0.265619412916984
MTMR6,2.07989163210334,0.0779800351003072,0.265619412916984
LOC151475,2.07979389623974,0.0779928600437519,0.265619412916984
ANKEF1,2.07979032239771,0.0779933290443113,0.265619412916984
FHOD1,2.07954693132074,0.0780252761598365,0.265690750752648
ZNF189,2.07937141296544,0.0780483224211527,0.265731763664802
POLR2G,2.07837658758908,0.0781790738752552,0.266139418084431
MITF,2.07785433831008,0.0782478003503627,0.266335840172253
MAATS1,2.07758136144974,0.0782837470100418,0.266417515568051
PPFIBP1,2.07743155395549,0.0783034811659081,0.266417515568051
UBR1,2.07739269832682,0.0783086004227527,0.266417515568051
ATP10B,2.07727326688673,0.0783243376665115,0.266417515568051
MEGF9,2.07725345816143,0.0783269481244039,0.266417515568051
PRKG2,2.07715616109966,0.0783397714915094,0.266423613184233
NVL,2.07703748794711,0.0783554149448489,0.266439298488376
HNRNPH2,2.07663506746809,0.0784084848056321,0.266494199504916
PCDH10,2.07659187825495,0.0784141825594324,0.266494199504916
PBRM1,2.07655725731128,0.0784187502357229,0.266494199504916
CES2,2.07650029033589,0.0784262666822146,0.266494199504916
MEX3B,2.07649679146545,0.0784267283600771,0.266494199504916
MRPS7,2.07591178083682,0.0785039585230693,0.266719103981952
ANO1-AS2,2.07549644493643,0.0785588345908753,0.266857154137585
ANKRD19P,2.07539394241464,0.0785723835076052,0.266857154137585
CGRRF1,2.07535344656573,0.0785777369364678,0.266857154137585
ZNF702P,2.07524613941937,0.0785919243559671,0.266867812311215
LINC00910,2.07499781082676,0.0786247663550996,0.266941802329874
ABCA13,2.07473879011675,0.0786590368265295,0.267020620726798
BHMT2,2.07460763800571,0.0786763948949911,0.267042013195436
PAIP2B,2.07438502092558,0.0787058670577222,0.267081499652523
ABCC1,2.0743527199706,0.0787101442688967,0.267081499652523
MMP13,2.07426308934341,0.0787220141311521,0.267084254433167
B3GALT6,2.07386846154539,0.0787742960267729,0.26721523518674
DNAJC21,2.07373817854005,0.0787915639635573,0.26721523518674
PTPN1,2.07372123095926,0.0787938104997294,0.26721523518674
CAMK2B,2.0735915477436,0.0788110031282434,0.267236018328859
HIST2H2BC,2.07314488145482,0.0788702477930281,0.267357148393312
PACSIN2,2.0731171361288,0.0788739293093705,0.267357148393312
ANKRD20A9P,2.07307188721771,0.0788799337329005,0.267357148393312
CDKN2C,2.07209964730335,0.0790090565724658,0.267757225115023
ZNF205,2.07151317940973,0.0790870458830566,0.267983925254415
RFC2,2.0713761946039,0.0791052732402189,0.268008088732081
MAML2,2.07092704437302,0.079165066739932,0.268173051468384
RMI1,2.07057952295647,0.0792113613830914,0.268280237643623
ST20-AS1,2.07041413392273,0.079233402851771,0.268280237643623
PSMC2,2.07039721508973,0.0792356579727997,0.268280237643623
RARS,2.07031745866672,0.0792462896044991,0.268280237643623
F2R,2.07027278019763,0.0792522459150932,0.268280237643623
TRIB2,2.07018390214304,0.0792640960057763,0.26828275095677
LYNX1,2.07002819820058,0.079284860186188,0.268315430583859
IFT74,2.0691928811299,0.0793963469557202,0.268655080978077
FAM111A,2.06866446389996,0.0794669526664753,0.268839656475142
PRKD1,2.06855658019147,0.0794813754057276,0.268839656475142
C20orf195,2.06849480376125,0.0794896353242252,0.268839656475142
MRPL57,2.06843752780188,0.0794972942555925,0.268839656475142
COPA,2.06829685811978,0.0795161076673593,0.268839656475142
LVRN,2.06824276986068,0.0795233426943923,0.268839656475142
ACER2,2.06820190085475,0.0795288099000078,0.268839656475142
SMIM12,2.06769879165629,0.0795961431219801,0.268996942537299
SPATA5L1,2.06768781303526,0.0795976130631424,0.268996942537299
FAM195A,2.06716174713144,0.0796680800356704,0.269149403932405
TFPI,2.06711717029947,0.0796740539641845,0.269149403932405
GTF2IP20,2.06710147285894,0.079676157749211,0.269149403932405
KCTD7,2.06635864431996,0.0797757748974463,0.269448229771783
PAK1IP1,2.06598460976447,0.079825981306472,0.26958010717215
CETN2,2.06589015747858,0.0798386644961981,0.269585239081312
CIR1,2.06578551915227,0.0798527178002961,0.269585239081312
SRP54,2.06566521035704,0.079868878716725,0.269585239081312
SAMD11,2.06564088142157,0.0798721471811314,0.269585239081312
EXOSC6,2.0653899790421,0.0799058622829913,0.269661351365249
MTMR3,2.06525783025918,0.0799236254622011,0.269683616343747
SEPT8,2.06452663895945,0.0800219810913646,0.269977777524756
SPRED3,2.06409954395105,0.0800794865994957,0.270116948973962
ZFP90,2.06405416506861,0.0800855989567566,0.270116948973962
LINC01044,2.06389086246315,0.0801075989795209,0.270147875159468
MAX,2.06382007092496,0.0801171378200335,0.270147875159468
DDX55,2.06356251372708,0.0801518519324725,0.270170353993858
CPVL,2.06354056320435,0.0801548111561802,0.270170353993858
UNC5B,2.06348928389354,0.0801617247117239,0.270170353993858
ABCA4,2.06343868230667,0.0801685474712864,0.270170353993858
NIN,2.06327669230201,0.0801903929030367,0.270206272291719
FAM13C,2.06306111343169,0.0802194742449007,0.270262177850325
FAM63A,2.06298782274142,0.0802293634408492,0.270262177850325
DMRT1,2.0628758470091,0.0802444747723098,0.270275386860354
ZNF682,2.06277440437195,0.0802581670635363,0.270283813313663
PAWR,2.06241940589567,0.0803061013527642,0.270407537428317
RINT1,2.06108318102171,0.080486780404836,0.270939481589533
GRB7,2.06105793978047,0.0804901972758818,0.270939481589533
TCF3,2.06100228304509,0.0804977319540633,0.270939481589533
TMEM204,2.06076519065149,0.0805298367488634,0.27100977386029
PDE7B,2.06062658916105,0.0805486106835716,0.271035190002829
GLDN,2.06037161157414,0.0805831593245762,0.271113671425893
TIMM9,2.05872440231052,0.0808067027885149,0.27182789588454
LOC105747689,2.05806064652806,0.0808969538784666,0.272000408481469
PPP1R1C,2.0580091330566,0.080903962330951,0.272000408481469
GPR137C,2.05798552806781,0.0809071740098965,0.272000408481469
SECISBP2L,2.05796999609714,0.0809092873478886,0.272000408481469
OCRL,2.05793320376503,0.0809142936670126,0.272000408481469
DIABLO,2.05782886252732,0.0809284930000484,0.272010282692759
RFX2,2.05703101334505,0.0810371498695086,0.272337592987093
KLHL8,2.05684540060362,0.0810624485424339,0.272382361172015
CDADC1,2.05672486395054,0.0810788816294014,0.272382361172015
RRAGA,2.05666654947712,0.0810868329760107,0.272382361172015
RTN3,2.05660240138907,0.0810955806395877,0.272382361172015
NIPAL3,2.05639112135783,0.0811243987720184,0.272441268567931
SMIM20,2.05619962823866,0.0811505267232753,0.272491126365531
PIK3CB,2.05597394280774,0.0811813306221196,0.272556669240486
CEP70,2.05552062928163,0.0812432383620717,0.272720120420876
TRIM27,2.05545212774259,0.0812525974640263,0.272720120420876
CAMKMT,2.05480722266046,0.0813407604157587,0.2729781000864
LOC642846,2.05447109516434,0.0813867486774485,0.273022274637497
INF2,2.05439975488724,0.0813965125972831,0.273022274637497
SGCA,2.05438378985171,0.0813986977947279,0.273022274637497
UBXN2A,2.05438056785275,0.0813991388094486,0.273022274637497
PBX2,2.05389767425144,0.081465262012434,0.273168647958932
WNT10B,2.05389667750422,0.0814653985528996,0.273168647958932
CCDC184,2.0537469527419,0.08148591131547,0.273183067389902
WASH7P,2.05370018403525,0.0814923198171757,0.273183067389902
ZNF417,2.05336701539047,0.0815379867483474,0.27329822286051
VAMP2,2.05303644357393,0.0815833226318736,0.273412236926272
