logFC,AveExpr,t,P.Value,adj.P.Val,B,gene
1.3825848109,0.38525917855,9.14252488648619,5.36129252910069e-09,6.22551044347774e-07,10.8215055398232,COL18A1
-1.7170324828,-0.0366999927,-9.14002986233317,5.3873755503158e-09,6.22551044347774e-07,10.8167435715769,CRYAB
-1.454248307,-0.173666324,-9.13706642531405,5.41852587840031e-09,6.22551044347774e-07,10.8110864838105,TSTD1
1.06067886375,0.110125901225,9.13640620577638,5.42549113730146e-09,6.22551044347774e-07,10.8098259853323,TCEAL7
-1.05241625225,0.250072848875,-9.13523435115077,5.4378769044721e-09,6.22551044347774e-07,10.8075885196764,DGAT1
-2.9203421558,-0.6310529179,-9.1249505921324,5.54783154715119e-09,6.29415173959407e-07,10.7879452451567,PKP2
-0.9279339553,0.19647871485,-9.12377861008152,5.56050751828966e-09,6.29415173959407e-07,10.7857056873688,UVRAG
-1.32447514515,-0.157374840225,-9.12155484169093,5.58464180646219e-09,6.29415173959407e-07,10.7814557354558,FASN
-2.8772875547,0.09292775015,-9.1142940201106,5.66419931647798e-09,6.32841109615724e-07,10.7675744823937,COPG2IT1
1.10127932715,0.209894332425,9.11337795418637,5.67431963830541e-09,6.32841109615724e-07,10.7658226296773,GDF11
-3.143815553,0.070193737,-9.11085223532421,5.70231967105011e-09,6.32841109615724e-07,10.7609919334771,MYO16
0.8742062328,0.2310631646,9.10135416500908,5.80889975094422e-09,6.41396890266694e-07,10.7428180295993,LOC100130776
1.25200639565,0.310440567975,9.08768315611787,5.96593292222454e-09,6.55387851203588e-07,10.7166376565219,ATP10A
1.58583831545,0.239991495125,9.08511906990343,5.99587083438369e-09,6.55387851203588e-07,10.7117244868745,KCNN4
1.7065530215,0.34896876575,9.07880709792241,6.07023199426203e-09,6.60198431695938e-07,10.6996259464928,CERCAM
-1.01399567075,0.017944565175,-9.0727237240101,6.1428023283739e-09,6.64767344511389e-07,10.6879603701648,MYO7A
-1.8229706325,0.09896688925,-9.06991657804032,6.17659138214707e-09,6.65114929428035e-07,10.6825756189247,ACSM5
-2.117033938,0.1068471075,-9.06666301833125,6.21599429862735e-09,6.66060630461783e-07,10.6763331821724,RDH5
-1.26370794915,-0.015107168425,-9.0630672544896,6.25984391422203e-09,6.67471200108616e-07,10.6694324755145,PARD6B
-1.07952417765,0.219406411675,-9.05755961635805,6.3276293062615e-09,6.71407769120976e-07,10.6588591878315,LOC401431
-1.18087944915,0.190325665625,-9.05457931730387,6.36462529502944e-09,6.72054997172235e-07,10.6531360117851,SULT1A2
1.00885719975,0.228942750625,9.04851326806947,6.44061850360026e-09,6.76793882561898e-07,10.641483366957,CREB3L1
-0.8383640745,-0.00259620975,-9.03936722378199,6.55697412694043e-09,6.84581747061547e-07,10.6239045569083,TMEM133
-2.2885205245,-0.32135628075,-9.03775764141616,6.57767493268956e-09,6.84581747061547e-07,10.6208097231156,CEBPA
-1.0403249312,0.2715187769,-9.02404039480794,6.75685626868109e-09,6.98046592228703e-07,10.5944202710133,HOXA3
-1.3442908173,-0.1945806416,-9.02295622253554,6.77123165503201e-09,6.98046592228703e-07,10.5923334137283,FGF13
-1.2763615095,-0.03059766025,-9.01518913432489,6.87514666117415e-09,7.04018960607989e-07,10.5773782617796,CAT
-2.841738269,-0.1469181215,-9.01380060604361,6.89389658925623e-09,7.04018960607989e-07,10.5747038382465,AQP7
-1.93742210835,-0.075029092175,-9.00919577980571,6.9564567513472e-09,7.07088071286468e-07,10.5658326414467,C3
-1.2838218263,-0.0897578982,-8.98083967136035,7.35484790512209e-09,7.4410535642891e-07,10.511139892493,SLITRK4
-1.24711813855,-0.351060440225,-8.973029024943,7.46867369607824e-09,7.50598402594374e-07,10.4960552897381,SCML2
2.53817171525,0.353436940875,8.97028752365469,7.50905631092014e-09,7.50598402594374e-07,10.4907586578429,LOC100287221
-1.06865000865,-0.061832734025,-8.96937503004971,7.52254743313597e-09,7.50598402594374e-07,10.4889954719514,PHLDA3
1.26680717535,0.173467444025,8.96407884820715,7.6013470327694e-09,7.54868245283576e-07,10.4787595280546,FADS2
-0.97458492885,0.020520412925,-8.96185111624493,7.63474687212149e-09,7.54868245283576e-07,10.474452822727,BANK1
-1.6871663088,0.5910576821,-8.94886497740129,7.83248665319451e-09,7.70915156924375e-07,10.4493340021749,KLHL30
-0.94333295895,0.250651169025,-8.94309561659155,7.92202724265182e-09,7.76215930550281e-07,10.438166939593,PIK3C2B
1.23853912195,0.093185663025,8.93439500166426,8.05906606177591e-09,7.86102264465245e-07,10.4213174611975,OSTCP1
-1.62631249125,0.072379091375,-8.93203442805648,8.09666699526354e-09,7.8624419857577e-07,10.4167441978001,ANGPT1
2.0316721705,0.13233433925,8.91751767968681,8.33192001152922e-09,8.03774376906125e-07,10.3886031250954,RGS13
-0.7732391404,0.2130950453,-8.91523461253841,8.36955632866168e-09,8.03774376906125e-07,10.3841746794828,EHD2
-1.5706265079,0.33304908355,-8.91211114681528,8.42133134443048e-09,8.03774376906125e-07,10.3781149468271,EMX2OS
-1.575789344,-0.0741326785,-8.91189069489488,8.42499806613629e-09,8.03774376906125e-07,10.3776872041227,TMEM56
2.4351771308,0.00206370539999998,8.90854783621377,8.48080159021463e-09,8.05565048866152e-07,10.3712002301396,CRLF1
-0.75788259605,-0.013714886025,-8.90457301390796,8.54765202763175e-09,8.08384899587156e-07,10.3634848798991,C14orf43
-1.0271093393,0.12293076485,-8.8951339402797,8.70859330191279e-09,8.20040352827736e-07,10.3451543149173,NRXN3
