dataset,layer,programme,delta,t,p,p_adj_within_layer
GSE51588(LT-MT),L2_ALR_ref_ProC,preHTC,-0.222034584846953,-1.30022107605977,0.205873741232146,0.247048489478575
GSE51588(LT-MT),L2_ALR_ref_RegC,HomC,-0.478870080799244,-2.04077436601696,0.052419417536389,0.052419417536389
GSE51588(LT-MT),L2_ALR_ref_RegC,preHTC,-1.16343566312619,-4.18587283441516,0.000329092569268528,0.00197455541561117
GSE51588(LT-MT),L3_logratio_HomC_over_preHTC,log(HomC/preHTC),0.68456558232695,4.73251464462695,8.19789299874844e-05,8.19789299874844e-05
GSE51588(LT-MT),L4_unclosed_gs_score,HomC,0.0569846017675729,0.953568374188397,0.349808398911374,0.466411198548498
GSE51588(LT-MT),L4_unclosed_gs_score,preHTC,-0.298388011727501,-4.31785524442227,0.000235374429407067,0.00094149771762827
GSE51588(LT-MT),L4_unclosed_gs_score,HomC_minus_preHTC,0.355372613495073,4.78679190034978,7.14137747490467e-05,0.000571310197992373
GSE57218(Pres-OA),L0_raw_sum1,HomC,0.0298354393775113,4.72865138326484,4.36551666217331e-05,6.11172332704263e-05
GSE57218(Pres-OA),L0_raw_sum1,preHTC,-0.119652114599963,-6.62957852849732,1.77711591958541e-07,6.21990571854894e-07
GSE57218(Pres-OA),L1_CLR_msr_0.5min,HomC,0.193089733157405,2.77597638981189,0.00911849045112021,0.0159573582894604
GSE57218(Pres-OA),L1_CLR_msr_0.5min,preHTC,-1.15084051552351,-3.93189072211555,0.000423935065023835,0.000989181818388947
GSE57218(Pres-OA),L1_CLR_add_1e-3,HomC,0.181229355826828,4.0085394493337,0.000341928353932118,0.000598374619381206
GSE57218(Pres-OA),L1_CLR_add_1e-3,preHTC,-1.00391647241884,-5.27164001294471,9.01515655703959e-06,6.31060958992771e-05
GSE57218(Pres-OA),L1_CLR_add_1e-2,HomC,0.17704518024593,4.81117453087289,3.43763056844615e-05,4.81268279582461e-05
GSE57218(Pres-OA),L1_CLR_add_1e-2,preHTC,-0.856814150492963,-5.87649221287806,1.55239385535862e-06,5.43337849375519e-06
GSE57218(Pres-OA),L2_ALR_ref_EC,HomC,-0.457822367058198,-1.5241910787113,0.137284016903832,0.205926025355748
GSE57218(Pres-OA),L2_ALR_ref_EC,preHTC,-1.80175261573911,-4.43095743363517,0.000102938620986705,0.000617631725920232
GSE57218(Pres-OA),L2_ALR_ref_FC,HomC,0.107443069346168,0.922500315888346,0.363171258251351,0.363171258251351
GSE57218(Pres-OA),L2_ALR_ref_FC,preHTC,-1.23648717933474,-3.17124113623373,0.00333835891682796,0.0190485308562237
GSE57218(Pres-OA),L2_ALR_ref_HomC,preHTC,-1.34393024868091,-4.10477335651695,0.000260684770933806,0.000782054312801419
GSE57218(Pres-OA),L2_ALR_ref_HTC,HomC,-0.208570656535506,-2.75327111402125,0.00964320145490942,0.0192864029098188
GSE57218(Pres-OA),L2_ALR_ref_HTC,preHTC,-1.55250090521642,-4.48821140141617,8.73356770987584e-05,0.000262007031296275
GSE57218(Pres-OA),L2_ALR_ref_preHTC,HomC,1.34393024868091,4.10477335651695,0.000260684770933806,0.000521369541867613
GSE57218(Pres-OA),L2_ALR_ref_ProC,HomC,0.585322009674916,6.82830780908687,1.01021888489035e-07,3.03065665467105e-07
GSE57218(Pres-OA),L2_ALR_ref_ProC,preHTC,-0.758608239005995,-2.50853608145394,0.0173850076661156,0.0173850076661156
GSE57218(Pres-OA),L2_ALR_ref_RegC,HomC,-0.0186741720064585,-0.116799308117031,0.907749073237598,0.907749073237598
GSE57218(Pres-OA),L2_ALR_ref_RegC,preHTC,-1.36260442068737,-3.21365276858992,0.00298764888532515,0.0179258933119509
GSE57218(Pres-OA),L3_logratio_HomC_over_preHTC,log(HomC/preHTC),1.34393024868091,4.10477335651695,0.000260684770933806,0.000260684770933806
GSE57218(Pres-OA),L4_unclosed_gs_score,HomC,0.0891506399981831,3.06467786559388,0.00440084646845219,0.0070413543495235
GSE57218(Pres-OA),L4_unclosed_gs_score,preHTC,-0.461305088619912,-8.64724367046195,6.99702259825713e-10,4.6163630731278e-09
GSE57218(Pres-OA),L4_unclosed_gs_score,HomC_minus_preHTC,0.550455728618095,8.45737900136406,1.15409076828195e-09,4.6163630731278e-09
