dataset,layer,programme,delta,t,p,p_adj_within_layer
GSE51588(LT-MT),L2_ALR_ref_HomC,FC,-0.1319015583268,-1.20749634845008,0.239006746544334,0.286808095853201
GSE51588(LT-MT),L2_ALR_ref_HomC,HTC,-0.359498819000088,-3.55990547871684,0.00158820964609077,0.00462791846850465
GSE51588(LT-MT),L2_ALR_ref_HomC,preHTC,-0.68456558232695,-4.73251464462695,8.19789299874844e-05,0.000491873579924906
GSE51588(LT-MT),L2_ALR_ref_HomC,ProC,-0.462530997479997,-3.40759858683344,0.00231395923425232,0.00462791846850465
GSE51588(LT-MT),L2_ALR_ref_HomC,RegC,0.478870080799244,2.04077436601696,0.052419417536389,0.0786291263045835
GSE51588(LT-MT),L2_ALR_ref_HTC,EC,0.256263061445952,3.00576183887384,0.00612133445556525,0.0122426689111305
GSE51588(LT-MT),L2_ALR_ref_HTC,FC,0.227597260673289,1.53398816805059,0.138110812635083,0.1657329751621
GSE51588(LT-MT),L2_ALR_ref_HTC,HomC,0.359498819000088,3.55990547871684,0.00158820964609077,0.00952925787654465
GSE51588(LT-MT),L2_ALR_ref_HTC,preHTC,-0.325066763326861,-2.74992733050761,0.0111496996423389,0.0167245494635083
GSE51588(LT-MT),L2_ALR_ref_HTC,ProC,-0.103032178479908,-0.585373527160306,0.563760737802255,0.563760737802255
GSE51588(LT-MT),L2_ALR_ref_HTC,RegC,0.838368899799332,3.23839314159135,0.00349927647230966,0.010497829416929
GSE51588(LT-MT),L2_ALR_ref_preHTC,EC,0.581329824772814,5.27173259842612,2.09167388067429e-05,0.000125500432840457
GSE51588(LT-MT),L2_ALR_ref_preHTC,FC,0.55266402400015,4.07317673968533,0.000437882207505018,0.000656823311257528
GSE51588(LT-MT),L2_ALR_ref_preHTC,HomC,0.68456558232695,4.73251464462695,8.19789299874844e-05,0.000245936789962453
GSE51588(LT-MT),L2_ALR_ref_preHTC,HTC,0.325066763326861,2.74992733050761,0.0111496996423389,0.0133796395708067
GSE51588(LT-MT),L2_ALR_ref_preHTC,ProC,0.222034584846953,1.30022107605977,0.205873741232146,0.205873741232146
GSE51588(LT-MT),L2_ALR_ref_preHTC,RegC,1.16343566312619,4.18587283441516,0.000329092569268528,0.000656823311257528
GSE51588(LT-MT),L2_ALR_ref_ProC,EC,0.359295239925861,1.91989209729975,0.0668340631989103,0.100251094798366
GSE51588(LT-MT),L2_ALR_ref_ProC,FC,0.330629439153197,2.54522820333186,0.0177653282299394,0.0355306564598788
GSE51588(LT-MT),L2_ALR_ref_ProC,HomC,0.462530997479997,3.40759858683344,0.00231395923425232,0.0138837554055139
GSE51588(LT-MT),L2_ALR_ref_ProC,HTC,0.103032178479908,0.585373527160306,0.563760737802255,0.563760737802255
GSE51588(LT-MT),L2_ALR_ref_ProC,preHTC,-0.222034584846953,-1.30022107605977,0.205873741232146,0.247048489478575
GSE51588(LT-MT),L2_ALR_ref_ProC,RegC,0.94140107827924,3.01484169193427,0.00599055374759536,0.0179716612427861
GSE51588(LT-MT),L2_ALR_ref_RegC,EC,-0.58210583835338,-2.49786575202925,0.0197477573386342,0.0269451168924642
GSE51588(LT-MT),L2_ALR_ref_RegC,FC,-0.610771639126043,-2.43987452319906,0.0224542640770535,0.0269451168924642
GSE51588(LT-MT),L2_ALR_ref_RegC,HomC,-0.478870080799244,-2.04077436601696,0.052419417536389,0.052419417536389
GSE51588(LT-MT),L2_ALR_ref_RegC,HTC,-0.838368899799332,-3.23839314159135,0.00349927647230966,0.010497829416929
GSE51588(LT-MT),L2_ALR_ref_RegC,preHTC,-1.16343566312619,-4.18587283441516,0.000329092569268528,0.00197455541561117
GSE51588(LT-MT),L2_ALR_ref_RegC,ProC,-0.94140107827924,-3.01484169193427,0.00599055374759536,0.0119811074951907
GSE51588(LT-MT),L3_logratio_HomC_over_preHTC,log(HomC/preHTC),0.68456558232695,4.73251464462695,8.19789299874844e-05,8.19789299874844e-05
GSE51588(LT-MT),L4_unclosed_gs_score,EC,-0.0386797813725161,-0.601251178162713,0.553309828270183,0.632354089451638
GSE51588(LT-MT),L4_unclosed_gs_score,FC,-0.00394192156968679,-0.0603468560993239,0.952379098032032,0.952379098032032
GSE51588(LT-MT),L4_unclosed_gs_score,HomC,0.0569846017675729,0.953568374188397,0.349808398911374,0.466411198548498
GSE51588(LT-MT),L4_unclosed_gs_score,HTC,-0.19339761128093,-2.95799244441689,0.00685558508249246,0.0137111701649849
GSE51588(LT-MT),L4_unclosed_gs_score,preHTC,-0.298388011727501,-4.31785524442227,0.000235374429407067,0.00094149771762827
